,Empty_droplet_sum,Cell_sum,Soup_probability,Selected
AC009630.2,11.0,7.0,0.6111111111111112,True
HNRNPA3,16970.0,9142.0,0.6498927696078431,False
CATSPER3,18.0,10.0,0.6428571428571429,False
MIP,9.0,4.0,0.6923076923076923,False
HSPA12B,12.0,6.0,0.6666666666666666,False
STYK1,508.0,291.0,0.6357947434292867,False
AC012339.1,1.0,0.0,1.0,False
AC079922.2,42.0,23.0,0.6461538461538462,False
PPP2R5E,4792.0,2691.0,0.6403848723773887,False
AL157931.1,1.0,0.0,1.0,False
LINC02050,118.0,81.0,0.592964824120603,True
FNDC9,16.0,14.0,0.5333333333333333,True
RASSF10,42.0,34.0,0.5526315789473685,True
CAPN8,20.0,12.0,0.625,True
LINC02456,33.0,17.0,0.66,False
HSPA8,49074.0,19531.0,0.7153122950222287,False
KF456478.1,82.0,29.0,0.7387387387387387,False
AC005821.1,2.0,0.0,1.0,False
NXT1,1916.0,1141.0,0.6267582597317631,True
PI4K2A,1380.0,576.0,0.7055214723926381,False
MBD3L2B,1.0,0.0,1.0,False
ENTPD6,1783.0,1018.0,0.6365583720099964,False
FAM181A,1.0,0.0,1.0,False
SLC9A6,488.0,282.0,0.6337662337662338,False
AC044849.1,416.0,343.0,0.5480895915678524,True
AC009309.1,54.0,33.0,0.6206896551724138,True
ARHGEF10L,246.0,84.0,0.7454545454545455,False
KCNK10,2.0,0.0,1.0,False
LINC02015,1.0,0.0,1.0,False
ARRDC5,1.0,0.0,1.0,False
TBC1D20,2936.0,1552.0,0.6541889483065954,False
DCLRE1A,231.0,120.0,0.6581196581196581,False
WHRN,412.0,293.0,0.5843971631205673,True
AC099489.1,19.0,10.0,0.6551724137931034,False
AC092745.1,3.0,0.0,1.0,False
ACTA2,10.0,4.0,0.7142857142857143,False
RABL2B,567.0,418.0,0.5756345177664974,True
AC044798.2,1.0,0.0,1.0,False
PLEKHA3,2623.0,1417.0,0.6492574257425743,False
DLGAP5,141.0,83.0,0.6294642857142857,True
MT-ND4L,156658.0,31775.0,0.8313724241507592,False
FASN,7330.0,4661.0,0.611291802184972,True
LINC02223,3.0,0.0,1.0,False
CCDC115,2767.0,1448.0,0.656465005931198,False
AC008609.1,8.0,0.0,1.0,False
TLL1,198.0,110.0,0.6428571428571429,False
TMEM222,1846.0,1041.0,0.6394180810529961,False
TEX46,3.0,3.0,0.5,True
FAF1,2615.0,1336.0,0.6618577575297393,False
DNAJC6,731.0,369.0,0.6645454545454546,False
DHRS7B,1252.0,777.0,0.6170527353376047,True
PSG11,9868.0,5292.0,0.6509234828496042,False
USP9X,5308.0,2834.0,0.6519282731515598,False
AC011484.1,1.0,0.0,1.0,False
SPC25,76.0,49.0,0.608,True
MCM3AP,2444.0,1445.0,0.6284391874517871,True
LIPE-AS1,52.0,21.0,0.7123287671232876,False
SNX27,3232.0,1869.0,0.6336012546559499,False
KLLN,166.0,74.0,0.6916666666666667,False
OR2T10,3.0,0.0,1.0,False
FAM78A,933.0,496.0,0.6529041287613716,False
RANBP9,2448.0,1224.0,0.6666666666666666,False
FAM45A,4863.0,2897.0,0.6266752577319588,True
AC005520.5,4.0,4.0,0.5,True
ACTN1,25264.0,12791.0,0.663881224543424,False
IDO2,1.0,0.0,1.0,False
AC016588.2,181.0,75.0,0.70703125,False
IGSF9,58.0,46.0,0.5576923076923077,True
AL139286.2,4.0,4.0,0.5,True
THAP10,15.0,7.0,0.6818181818181818,False
OXER1,11.0,8.0,0.5789473684210527,True
NDE1,224.0,129.0,0.6345609065155807,False
CWH43,3.0,0.0,1.0,False
CAMK4,11.0,8.0,0.5789473684210527,True
PGAM4,4.0,0.0,1.0,False
