"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"ARNT::HIF1A",1,1,1,1,0.0388675884771447,0.31875201596953,0.0247076272490793,0.594039276492767,0.125815761818842,0.0137651663380814,1,1,1,1,0.149451087886061,0.80890815303033,0.0461603001753766,0.770546848401478,0.232190604172966,0.0606389276831588,0,0,0,0,2.0658416771162,0.997072464768647,2.2462625645873,0.533007855619114,1.53093269743658,2.46374311857508
"DUX4",7.61364860990351e-20,1,3.97872719107284e-09,0.0726953216843629,1,1,1,1,1,1,2.90327684943911e-19,1,4.06215211604695e-08,0.18260372470715,1,1,1,1,1,1,9.13661187490498,0,5.89000719766551,1.79491687726532,0,0,0,0,0,0
"FOS",1.08570919349147e-98,0.974357831627669,3.23322560377661e-06,6.74049527145224e-06,1,1,1,0.904044674200508,1,0.345804642434616,2.86355799783375e-97,0.998939879253599,1.6505095219279e-05,0.000153645423544009,1,1,1,0.960866826233395,1,0.570037340263313,21.3080208707331,0.0321439824450107,4.65790065981387,4.50397323383158,0,0,0,0.120556409074079,0,0.942799959501349
"FOSL2",1.77429238197808e-89,0.635982924117027,2.51015686838729e-07,0.00452751019871408,1,1,1,1,1,0.660767690897054,3.74375692597376e-88,0.873465167382178,1.65513468509287e-06,0.0218772057693589,1,1,1,1,1,0.817930325476033,20.2479996321481,0.473336379219148,5.16028791827871,2.83946389504049,0,0,0,0,0,0.438865801262688
"FOXH1",1.38058979503935e-09,1,0.000763709215706906,0.470486572784648,1,1,0.585940335358567,1,1,0.945634035273134,3.38726100875934e-09,1,0.00218745671286186,0.635006397809557,1,1,0.651845750934926,1,1,0.975461001316511,6.06309688695241,0,3.36659860233853,0.721713385758967,0,0,0.544744991497616,0,0,0.0681920522023564
"JUN",2.1061727468726e-09,1,0.00127557486793268,0.174147039704256,0.453955638548548,1,0.00503965211098511,0.757738303459934,0.621818620748577,0.380623469485867,5.08857766706242e-09,1,0.00345601640571496,0.322843146311393,0.698371853356294,1,0.0109249992679917,0.883330287458818,0.748310241319105,0.611509279656228,5.99459337285268,0,3.22228061108385,1.35908950470126,0.748864164256497,0,2.80507266318815,0.308460090728573,0.493288945684417,0.876784553147536
"JUN(var.2)",5.29301006095266e-93,0.990424859744595,8.73573315587516e-06,1.0336863695964e-05,1,1,1,1,1,0.753102820088928,1.19659834592251e-91,0.999774133463829,4.15768352456314e-05,0.000211072087727266,1,1,1,1,1,0.86361247303676,20.6594935767844,0.0120012287849033,4.44848248232374,4.41212425195009,0,0,0,0,0,0.314558818230836
"JUND(var.2)",2.67791505179206e-05,1,0.0805173455636763,0.0227392413882587,0.0140808995837989,0.991362254406297,9.02735995413916e-05,0.335552129388873,1,0.0169297714110938,4.76157367355161e-05,1,0.133074359639183,0.0773867731116545,0.0718807212624571,0.996064556627891,0.0002801136691652,0.558959205008307,1,0.0705035875211998,4.20109721368462,0,1.74785870794635,2.27811880458569,2.45559849528909,0.0108262745879652,3.91685189823195,0.963034441250698,0,2.38860568079589
"MEF2C",3.88881771661908e-28,0.921680781348002,1.18378481779292e-08,0.00704270720959355,1,0.597157426146582,1,1,1,1,2.08612001238973e-27,0.998939879253599,1.06998006824662e-07,0.0305126258358673,1,0.905382599434145,1,1,1,1,11.0300214992053,0.0983190787070119,5.70653901601036,2.69534140434441,0,0.528508569514131,0,0,0,0
"MAF::NFE2",6.83951748315599e-33,1,0.00276437471063141,0.0131085941050649,0.725458901725436,1,1,0.967521820271248,1,0.54820558276336,4.2033151134347e-32,1,0.00697151072442104,0.0515387581894788,0.887155690300172,1,1,0.983120626323987,1,0.747875288554325,11.9861276525026,0,2.99349311213181,2.48122250416181,0.351181821407735,0,0,0.0407175677619928,0,0.600470386460219
"NR2C2",1,1,1,1,1.76559104283975e-05,0.0172764644864852,1.11904143795497e-27,4.67860324572723e-06,1.9677795516989e-05,1.05847827205605e-06,1,1,1,1,0.000485921360920678,0.232680894041386,2.72443550086729e-26,8.71045839572158e-05,0.000197714993051652,2.51661648119606e-05,0,0,0,0,4.29460313530156,2.38114378409283,10.9334717739381,4.58107092743058,4.27044453338403,4.88329095400665
"NRF1",1,1,1,1,0.00172170343744633,0.307790003555982,8.3101352976034e-26,1.94577825161524e-08,4.51942811354339e-09,0.0137292004060765,1,1,1,1,0.0175780367081214,0.80890815303033,1.9482650531048e-24,5.35512014466282e-07,1.14431919834919e-07,0.0606389276831588,0,0,0,0,3.13525821381744,1.01991914322507,10.5311930514986,5.62105335578867,5.8688449325802,2.46468133145879
"POU2F2",1.2929120967552e-29,0.818187127687675,2.14767901153933e-07,2.41392428670175e-05,1,0.478146496837702,1,1,1,1,7.24259608182338e-29,0.963920055284454,1.43103243610989e-06,0.000426650407303444,1,0.892276959214112,1,1,1,1,11.335572445299,0.229882972752739,5.1894805788818,4.22457003049893,0,0.709311889650364,0,0,0,0
"SMAD2::SMAD3::SMAD4",0.172624436896658,1,1,1,1,1,0.101548894802936,1,1,0.00126348711203814,0.201236222017651,1,1,1,1,1,0.156400122652697,1,1,0.00898302493591196,1.36391099519436,0,0,0,0,0,1.63753219231631,0,0,3.22501018767424
"STAT1::STAT2",1,1,1,1,0.00101776358146381,1,0.00167959181404211,1,1,0.0968100512824093,1,1,1,1,0.0140053118927521,1,0.0041368934563761,1,1,0.26488077312532,0,0,0,0,3.28648065552228,0,3.14252171530617,0,0,1.66066582307749
"TCF7L2",0.00374788174695374,0.492010910952857,0.0298566992852775,0.114482778276628,0.216966669324991,0.936927848337314,1,1,1,0.697513238793002,0.00546638052032654,0.831294128522143,0.0574446524242574,0.245722981454789,0.475224573296606,0.994210758064472,1,1,1,0.828955562630879,2.89927789888231,0.687137742937654,2.17227813841949,1.57849016569814,1.23470746153966,0.0791335980584219,0,0,0,0.388690028053638
"ZBTB33",1,1,1,1,0.0263850908841558,1,1.07217237637412e-19,1.16414169471702e-10,1.37124553225701e-05,0.00373975416982777,1,1,1,1,0.11361743217463,1,1.78601345853899e-18,4.60563557972422e-09,0.000149654900330808,0.0202330289700938,0,0,0,0,2.2208059028608,0,9.09921329054604,6.45038128406087,4.35045094805572,2.8999589965798
"ELK4",1,1,1,1,0.0370018402509268,1,3.69886201716776e-20,1.10035692029631e-07,3.63146407376112e-05,0.000891646272715391,1,1,1,1,0.145479284961719,1,6.32805312666809e-19,2.67894588672141e-06,0.000343092053535939,0.00696805050159065,0,0,0,0,2.08600604548866,0,9.21500077396402,5.31296297469923,4.13151020721333,3.32359692016275
"ESR2",1,1,0.988815720062392,1,0.0769899770950516,1,0.000483780146642399,0.000249691709498507,0.0907413453675354,0.0828363725125554,1,1,0.990380301897934,1,0.237730026834964,1,0.00131231135483808,0.00250880717638976,0.182827040167021,0.23834283545658,0,0,0.01401820473321,0,1.76859596468162,0,3.49066097375243,3.66381699937834,1.69165351352482,1.73462410260213
"IRF1",0.0313335482495008,1,0.148026025023154,0.513677784438707,0.484590821880762,0.83836056990386,0.0882190675832411,1,1,0.296344894656182,0.0406437213974058,1,0.221514122552379,0.664988867411087,0.721994675089179,0.977431540313289,0.139923418201917,1,1,0.519629690629814,2.15309593983018,0,1.4466443367304,0.653143657580573,0.698962380566397,0.203995944972682,1.70502441596065,0,0,1.04435502390586
"STAT1",0.899841789212161,1,1,0.644100093269829,1,1,0.850671985602756,1,0.159586050133291,0.050810095115006,0.908452715424718,1,1,0.763511908314235,1,1,0.876995711541604,1,0.278522694829887,0.169277843198941,0.125864213652835,0,0,0.461986996053844,0,0,0.18826567113982,0,1.40656357961922,1.95330118474587
"STAT3",0.245617059109683,1,0.218339703338199,0.169408444391003,0.81169631022248,1,0.435473803902952,1,1,0.231568690139271,0.278199107111367,1,0.302426766330591,0.320106105371657,0.930410646615046,1,0.514281563191359,1,1,0.45297588488548,1.16112515650783,0,1.23102774445682,1.37420034404797,0.238244168670944,0,0.779888593149009,0,0,1.19639608953669
"GATA1::TAL1",0.000151989945183809,0.999774133463829,0.015810426085838,0.0319822880482932,0.00119279075854862,0.0674506731902478,0.632576635318818,1,1,1,0.000255876689631253,0.999774133463829,0.0329210516853141,0.0968650159548786,0.0147530074923962,0.469189847576119,0.693970554864492,1,1,1,3.78916196978175,0.000283088379395842,2.41364960911729,2.14491416990502,3.24147457455809,1.8288459339285,0.478117171948179,0,0,0
"YY1",1,1,1,1,0.0789065433000237,1,1.8931888171589e-12,0.0253280176559222,0.00147986415455,0.0270377692316563,1,1,1,1,0.24220054801861,1,1.59785136168211e-11,0.100834183498105,0.00755446782121089,0.104791601673491,0,0,0,0,1.75723488811369,0,7.05051421856813,2.23667822024735,3.17943304030685,2.21127809676384
