"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"LBX2",1,0.000609917772890478,0.975196496491407,1,0.00151229886934096,0.530290796469989,0.798713821335153,0.711379681398371,0.322140943351959,1,1,0.000864291062058071,0.981398064036662,1,0.0142439697603451,0.638163639097915,0.848322963709939,0.827763489568325,0.410292187408028,1,0,3.42819205992964,0.031092321569685,0,3.17313806134986,0.627582728237785,0.255018395182616,0.370013655911357,0.99011395336767,0
"MEOX2",0.0014094929897015,1,0.0174598201790252,0.367987564133113,0.928832556481938,1,1,0.670382924045948,1,0.341062144803155,0.00254190616091466,1,0.0319423877841703,0.578906886100792,0.965436795161029,1,1,0.805222753170939,1,0.549344370637143,3.19354004293703,0,2.37725036710233,0.900287663172888,0.0893158787117104,0,0,0.425634339833328,0,0.952111350682206
"MNX1",0.300417409271394,2.06372190357509e-07,0.0960616543494123,0.106412802858147,1,1,1,1,1,0.805227546087422,0.352809313671229,3.55650057157897e-07,0.142405215932501,0.237180648623968,1,1,1,1,1,0.893595099335792,1.03558912086419,5.19692029565723,1.66440158423885,1.61466553098111,0,0,0,0,0,0.246593561299099
"MSX2",0.592087244010077,1.54317084759179e-103,1,0.590249520522878,0.19357541102604,0.506534230100794,0.603186679741756,1,0.410976344064841,0.0265632056814698,0.642866595983497,3.29577202449961e-102,1,0.77516171471158,0.360391868174951,0.618988740644407,0.678183247382826,1,0.504162840684195,0.105090682477315,0.535830007077861,21.8467799299904,0,0.53849080191402,1.30015677203997,0.664266383003727,0.519838901160521,0,0.82220907256833,2.21818575968908
"NOTO",0.313564409985848,0.0268057194432013,0.142236536884904,0.659581054210162,1,0.467813927399737,0.339511658827282,1,0.554778259038498,0.443364706827227,0.366210833064652,0.0341060004830519,0.199635760195442,0.818410706104808,1,0.584075376812689,0.422221768246895,1,0.656401192469849,0.630673841396931,1.00781874035207,2.2146425757103,1.46762183624807,0.440504016784855,0,0.726066582779688,0.955173519894122,0,0.590633950378296,0.766552380903714
"OTX1",0.504810316996424,1,1,1,0.0242381618262878,0.0115214566552162,0.325904749246996,1,1,1,0.556698485468182,1,1,1,0.0843008595386823,0.0314356985463443,0.409320845780454,1,1,1,0.66696286892604,0,0,0,2.25365485704549,2.52691044890479,0.982441465594847,0,0,0
"PDX1",0.323504115080087,1,0.872905814905656,1,0.341469602417628,0.693570279629789,1,0.726154988408379,0.496513034496271,0.137572845384791,0.375739641918706,1,0.898454277780944,1,0.541729970752778,0.770228047378345,1,0.837260669694907,0.595623112662769,0.305556530275695,0.987328425816086,0,0.1599724483921,0,0.951308112915986,0.394025270926277,0,0.35025404010395,0.680009829426938,1.48500229962724
"PHOX2A",2.828632358384e-05,1,2.63524544695507e-05,0.268329661145962,0.00047017157156475,1,1,0.857152179511348,1,1,6.3046629678066e-05,1,8.46756531940386e-05,0.471812987514982,0.0058356589176566,1,1,0.924322537701334,1,1,4.18866537738761,0,4.20473774399635,1.10697524576893,3.49828631873988,0,0,0.180004862348217,0,0
"PITX3",0.347262211424678,1,1,1,0.092839818645175,0.0412640561416462,0.677850430334752,0.578427583021184,1,1,0.401125875605513,1,1,1,0.218466933837903,0.0897636612068549,0.742351768861415,0.738194879137922,1,1,0.939954559566839,0,0,0,1.68075526498432,2.04111468351964,0.415409638411608,0.555700087374432,0,0
"PROP1",9.31333813715199e-12,1,2.03859984466725e-10,0.0275978775784189,0.794396171149102,1,1,1,1,1,3.36876745189555e-11,1,1.55473939960767e-09,0.088677444198676,0.898219152923494,1,1,1,1,1,6.82434563696702,0,6.36460037018065,2.20325866489431,0.260612788184855,0,0,0,0,0
"PRRX1",0.0808269115707674,2.62644489201056e-07,1,0.711243575418166,0.00937439596296422,0.67186571231736,0.268162298826443,1,0.802118012223719,0.409431133265224,0.10909047979594,4.50032677771438e-07,1,0.851072180037239,0.0478547793915835,0.752727426366175,0.345013689343778,1,0.856223780333245,0.602720714783458,1.74607427412132,5.15178229001704,0,0.370196337293532,2.59856313083133,0.423600558113029,1.10736243347864,0,0.250613203736889,0.82492770455048
"RAX2",0.893222968616409,0.808112372698555,1,1,0.0115643866956898,0.0131278466920761,0.130332810397663,1,0.163708909396472,0.936731145703737,0.913425103609349,0.830328520401608,1,1,0.0542241242842345,0.0353613913024859,0.18792863093786,1,0.239879026962886,0.963996717538979,0.134230347339616,0.242867955393384,0,0,2.52560315299815,2.48069905357153,1.51290770633511,0,1.3928015717317,0.0793809096684097
"RAX",1,0.971481868400935,0.183887416318444,1,0.0125718159368412,0.405664733358218,1,1,1,1,1,0.974741874670737,0.247661137296968,1,0.0572963173466024,0.528365794682617,1,1,1,1,0,0.0357506322594605,1.3289668293428,0,2.49609779087391,0.831579976485327,0,0,0,0
"RHOXF1",0.382070344599734,1,1,1,6.14264462089831e-05,0.33943557655977,1,1,0.745256644042175,0.163572622026182,0.435766717354291,1,1,1,0.00144010890556616,0.464066349810658,1,1,0.81056263862319,0.342462896166924,0.874124214393037,0,0,0,4.00887000880848,0.955324010926578,0,0,0.324908590597964,1.39325229125628
"UNCX",0.357278447184236,4.58803406619752e-07,0.519502855141696,1,0.000158838514357572,0.128508184802774,0.0480341652840711,1,0.586366836778818,1,0.409705175847141,7.70686621232056e-07,0.597900558735806,1,0.00283393622513792,0.222948205883092,0.0793880590726292,1,0.684387045659169,1,0.920603313240424,5.04591936729233,0.644133347214273,0,3.77818300050148,1.520129366587,1.97729414466429,0,0.544125036326705,0
"VAX1",0.00863335686257835,1,0.0918453493564453,0.606610861063995,0.243353121492211,1,1,0.983278319693441,1,0.939630291819195,0.0135270170643864,1,0.137442331306454,0.7842784410995,0.42243950652091,1,1,0.992406564188477,1,0.963996717538979,2.6267288718159,0,1.68589500777253,0.514932538376901,1.1667113235788,0,0,0.0209595454891919,0,0.0757363352317791
"VAX2",0.00863335686257835,1,0.0918453493564453,0.606610861063995,0.243353121492211,1,1,0.983278319693441,1,0.939630291819195,0.0135270170643864,1,0.137442331306454,0.7842784410995,0.42243950652091,1,1,0.992406564188477,1,0.963996717538979,2.6267288718159,0,1.68589500777253,0.514932538376901,1.1667113235788,0,0,0.0209595454891919,0,0.0757363352317791
"VENTX",0.00135771733595208,1,0.142081625105543,0.00986663481774557,0.175449427232024,0.0450387596501049,0.226631644432347,1,1,0.510214993071876,0.00245552878187904,1,0.199635760195442,0.0413614558916089,0.336397224763749,0.0950317828617212,0.301381997743015,1,1,0.690098484219012,3.2043402488063,0,1.46819206534438,2.58093306194664,1.35499027575367,2.00452863445602,1.20915117380005,0,0,0.658525150387163
