"","motif","view","factor","padj"
"273","SOX21","ATAC_all","Factor1",0.398596274100052
"274","TFAP2A(var.3)","ATAC_all","Factor1",0.0235480498348834
"275","ELK1","ATAC_all","Factor1",0.0191677516047212
"276","HOXD12","ATAC_all","Factor1",1
"277","BARX1","ATAC_all","Factor1",0.456419566158255
"278","BSX","ATAC_all","Factor1",0.737293459087052
"279","DLX6","ATAC_all","Factor1",1
"280","DUXA","ATAC_all","Factor1",0.787046699001285
"281","EMX2","ATAC_all","Factor1",0.463642993374674
"282","EVX1","ATAC_all","Factor1",0.618310951826849
"283","EVX2","ATAC_all","Factor1",0.337593342919299
"284","GBX1","ATAC_all","Factor1",0.999147526357206
"285","GBX2","ATAC_all","Factor1",0.858693182313296
"286","GSC2","ATAC_all","Factor1",1
"287","GSX1","ATAC_all","Factor1",1
"288","HESX1","ATAC_all","Factor1",1
"289","HMBOX1","ATAC_all","Factor1",1
"290","HOXA10","ATAC_all","Factor1",0.383621019233355
"291","HOXB3","ATAC_all","Factor1",0.233178183823995
"292","HOXC10","ATAC_all","Factor1",1
"293","HOXC12","ATAC_all","Factor1",1
"294","HOXC13","ATAC_all","Factor1",0.844942222640292
"295","HOXD11","ATAC_all","Factor1",1
"296","ISL2","ATAC_all","Factor1",0.0132847746512365
"297","FOXK1","ATAC_all","Factor1",0.999147526357206
"298","GATA2","ATAC_all","Factor1",1
"299","HIF1A","ATAC_all","Factor1",0.218927029964108
"300","MYC","ATAC_all","Factor1",0.0132847746512365
"301","MYB","ATAC_all","Factor1",0.839843736741638
"302","MYCN","ATAC_all","Factor1",0.22940432573414
"303","NEUROD1","ATAC_all","Factor1",0.0100049968142779
"304","NFIC","ATAC_all","Factor1",0.231119085916669
"305","NFYA","ATAC_all","Factor1",5.10083315914396e-08
"306","NR1H4","ATAC_all","Factor1",0.508999709929059
"307","NR2F2","ATAC_all","Factor1",1
"308","PAX5","ATAC_all","Factor1",0.000890574497036751
"309","PBX3","ATAC_all","Factor1",0.00320878952062987
"310","POU5F1","ATAC_all","Factor1",1
"311","RBPJ","ATAC_all","Factor1",0.0131284311602526
"312","RELB","ATAC_all","Factor1",1
"313","SIX1","ATAC_all","Factor1",1
"314","SIX2","ATAC_all","Factor1",1
"315","SOX10","ATAC_all","Factor1",1
"316","SOX13","ATAC_all","Factor1",0.614948821207092
"317","TEAD2","ATAC_all","Factor1",1
"318","TFDP1","ATAC_all","Factor1",0.00507250155673129
"319","ZBTB7A","ATAC_all","Factor1",0.000484772997449464
"320","ZEB1","ATAC_all","Factor1",0.000179402841514044
"321","ZNF24","ATAC_all","Factor1",0.425551055216452
"322","ZNF384","ATAC_all","Factor1",1
"323","ZNF282","ATAC_all","Factor1",0.0013236839121182
"324","ZSCAN4","ATAC_all","Factor1",0.221830260498153
"325","GATA3","ATAC_all","Factor1",1
"326","FOS::JUN","ATAC_all","Factor1",1
"327","FOS::JUN(var.2)","ATAC_all","Factor1",0.233178183823995
"328","FOSB::JUN","ATAC_all","Factor1",0.103264544190502
"329","FOSL1::JUN","ATAC_all","Factor1",1
"330","FOSL1::JUN(var.2)","ATAC_all","Factor1",0.0571514243306225
"331","FOSL2::JUN","ATAC_all","Factor1",1
"332","FOSL2::JUN(var.2)","ATAC_all","Factor1",0.207980984898578
"333","JUN::JUNB","ATAC_all","Factor1",1
"334","JUN::JUNB(var.2)","ATAC_all","Factor1",0.149378010701798
"335","FOS::JUNB","ATAC_all","Factor1",1
"336","FOSB::JUNB","ATAC_all","Factor1",1
"337","FOSB::JUNB(var.2)","ATAC_all","Factor1",0.0971573589789694
"338","FOSL1::JUNB","ATAC_all","Factor1",1
"339","FOSL2::JUNB","ATAC_all","Factor1",1
"340","FOSL2::JUNB(var.2)","ATAC_all","Factor1",0.0854919207832132
"341","FOS::JUND","ATAC_all","Factor1",1
"342","FOSL1::JUND","ATAC_all","Factor1",1
"343","FOSL1::JUND(var.2)","ATAC_all","Factor1",0.149378010701798
"344","FOSL2::JUND","ATAC_all","Factor1",1
"345","FOSL2::JUND(var.2)","ATAC_all","Factor1",0.328873171155047
"346","NR1H4::RXRA","ATAC_all","Factor1",0.136079132341669
"347","NR4A2::RXRA","ATAC_all","Factor1",0.00436435200894598
"348","PPARA::RXRA","ATAC_all","Factor1",0.360764250214055
"349","RARA::RXRG","ATAC_all","Factor1",0.403139624065441
"350","RORB","ATAC_all","Factor1",0.749896811404172
"351","RORC","ATAC_all","Factor1",0.0747269575781735
"352","SOX15","ATAC_all","Factor1",1
"353","TFE3","ATAC_all","Factor1",1
"354","VDR","ATAC_all","Factor1",1
"355","IRF3","ATAC_all","Factor1",0.729722691990838
"356","IRF4","ATAC_all","Factor1",1
"357","IRF5","ATAC_all","Factor1",0.461578522820897
"358","TCF7L1","ATAC_all","Factor1",1
"359","ARGFX","ATAC_all","Factor1",0.744853297273907
"360","ARNT2","ATAC_all","Factor1",0.739813900686271
"361","ATF6","ATAC_all","Factor1",1
"362","ATOH1(var.2)","ATAC_all","Factor1",1
"363","ATOH7","ATAC_all","Factor1",1
"364","BACH2","ATAC_all","Factor1",1
"365","BACH2(var.2)","ATAC_all","Factor1",0.249322577159379
"366","BARX2","ATAC_all","Factor1",1
"367","BHLHA15(var.2)","ATAC_all","Factor1",1
"368","CDX4","ATAC_all","Factor1",1
"369","CREB3L4","ATAC_all","Factor1",1
"370","CREB3L4(var.2)","ATAC_all","Factor1",0.106617901052641
"371","DLX5","ATAC_all","Factor1",0.767261987955543
"372","DMRTA2","ATAC_all","Factor1",1
"373","DMRTC2","ATAC_all","Factor1",1
"374","DPRX","ATAC_all","Factor1",1
"375","DRGX","ATAC_all","Factor1",1
"376","ELF2","ATAC_all","Factor1",0.0586347636193627
"377","ETS2","ATAC_all","Factor1",0.0013308193960451
"378","FERD3L","ATAC_all","Factor1",0.0149519967748728
"379","FOXE1","ATAC_all","Factor1",0.614948821207092
"380","FOXN3","ATAC_all","Factor1",1
"381","GLI3","ATAC_all","Factor1",2.50690610608085e-05
"382","HES6","ATAC_all","Factor1",0.00471796794136557
"383","HNF4A(var.2)","ATAC_all","Factor1",0.218118516979355
"384","HOXA1","ATAC_all","Factor1",1
"385","HOXA4","ATAC_all","Factor1",1
"386","HOXA6","ATAC_all","Factor1",1
"387","HOXA7","ATAC_all","Factor1",0.999147526357206
"388","HOXB4","ATAC_all","Factor1",1
"389","HOXB6","ATAC_all","Factor1",0.775980451375991
"390","HOXB7","ATAC_all","Factor1",1
"391","HOXB8","ATAC_all","Factor1",0.999147526357206
"392","HOXB9","ATAC_all","Factor1",1
"393","HOXC4","ATAC_all","Factor1",1
"394","HOXC8","ATAC_all","Factor1",1
"395","HOXD10","ATAC_all","Factor1",1
"396","HOXD4","ATAC_all","Factor1",1
"397","IKZF1","ATAC_all","Factor1",1
"398","IRF6","ATAC_all","Factor1",0.0639846552536017
"399","KLF10","ATAC_all","Factor1",2.50690610608085e-05
"400","KLF11","ATAC_all","Factor1",0.000198393556688147
"401","KLF15","ATAC_all","Factor1",5.76790672378456e-09
"402","KLF17","ATAC_all","Factor1",0.00163131019409916
"403","KLF2","ATAC_all","Factor1",5.12864016898445e-07
"404","KLF3","ATAC_all","Factor1",0.00188042011999964
"405","KLF6","ATAC_all","Factor1",2.35124677030266e-07
"406","LHX1","ATAC_all","Factor1",0.985238355846678
"407","LHX5","ATAC_all","Factor1",1
"408","MAF","ATAC_all","Factor1",0.683377152003902
"409","MAFA","ATAC_all","Factor1",0.614948821207092
"410","MAZ","ATAC_all","Factor1",9.60148617654972e-07
"411","MSANTD3","ATAC_all","Factor1",0.00882811148589887
"412","MSGN1","ATAC_all","Factor1",1
"413","NFATC4","ATAC_all","Factor1",0.972114931249095
"414","NFIC(var.2)","ATAC_all","Factor1",0.121895037768138
"415","NFIX(var.2)","ATAC_all","Factor1",0.000892572459214826
"416","NHLH2","ATAC_all","Factor1",0.227603651802217
"417","NKX6-3","ATAC_all","Factor1",1
"418","NR1D1","ATAC_all","Factor1",1
"419","NR1D2","ATAC_all","Factor1",1
"420","NR1I2","ATAC_all","Factor1",0.000455095063697493
"421","NR1I3","ATAC_all","Factor1",0.373853757058774
"422","NR2C1","ATAC_all","Factor1",0.00791167584856645
"423","NR2C2(var.2)","ATAC_all","Factor1",0.425444555398443
"424","NR2F1(var.2)","ATAC_all","Factor1",0.50377187286675
"425","NR2F1(var.3)","ATAC_all","Factor1",0.0100049968142779
"426","NR2F6(var.3)","ATAC_all","Factor1",0.0299339271536026
"427","NR5A1","ATAC_all","Factor1",0.779741302117126
"428","NR6A1","ATAC_all","Factor1",0.452798940318434
"429","OSR1","ATAC_all","Factor1",1
"430","OVOL1","ATAC_all","Factor1",0.0107392062668029
"431","OVOL2","ATAC_all","Factor1",0.0459788914822218
"432","PAX3(var.2)","ATAC_all","Factor1",0.121895037768138
"433","PITX2","ATAC_all","Factor1",0.937969710822772
"434","PLAGL2","ATAC_all","Factor1",0.000329799690389213
"435","POU6F1(var.2)","ATAC_all","Factor1",1
"436","PPARD","ATAC_all","Factor1",0.149378010701798
"437","RARB(var.3)","ATAC_all","Factor1",0.0792666535194838
"438","RARG(var.3)","ATAC_all","Factor1",0.991697551351704
"439","RFX7","ATAC_all","Factor1",0.0792666535194838
"440","RXRB(var.2)","ATAC_all","Factor1",0.014194337279231
"441","RXRG(var.2)","ATAC_all","Factor1",0.000120298937502824
"442","SMAD5","ATAC_all","Factor1",1
"443","SNAI1","ATAC_all","Factor1",0.127902470860797
"444","SNAI3","ATAC_all","Factor1",0.0439160848598104
"445","SOHLH2","ATAC_all","Factor1",0.767261987955543
"446","SOX12","ATAC_all","Factor1",0.102142555141263
"447","SOX14","ATAC_all","Factor1",0.718056174506503
"448","SOX18","ATAC_all","Factor1",1
"449","SP9","ATAC_all","Factor1",1.95246526201945e-07
"450","TBX18","ATAC_all","Factor1",0.010090764821543
"451","TBX3","ATAC_all","Factor1",0.0301150421738464
"452","TBX6","ATAC_all","Factor1",0.163589475885904
"453","TCF21(var.2)","ATAC_all","Factor1",1
"454","TFAP2E","ATAC_all","Factor1",1.99271351055569e-07
