"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"DMRT3",1,1,1,1,1,1,0.304306058792135,1,1,1,1,1,1,1,1,1,0.37548876260316,1,1,1,0,0,0,0,0,0,1.02729260929849,0,0,0
"FOXG1",1,0.00784833935733959,1,1,0.0192468777577249,1,0.0759543508148199,1,1,1,1,0.0136109556525917,1,1,0.187434978779074,1,0.112597433409323,1,1,1,0,2.65902971492395,0,0,2.34107096861762,0,1.7748312120881,0,0,0
"LBX1",0.73194576206786,0.157666562451592,1,1,1,0.12219667524404,1,1,1,1,0.82736012033742,0.214169386334459,1,1,1,0.264898956950265,1,1,1,1,0.34254737955678,1.41306264593497,0,0,0,1.54574183557554,0,0,0,0
"NFATC3",1,5.74477275481221e-05,1,1,0.0968516134807149,0.989666731744263,1,1,1,1,1,0.000134683005696153,1,1,0.356436461240073,0.992803551813183,1,1,1,1,0,4.02468174750487,0,0,1.66045903579807,0.0129514976546334,0,0,0,0
"POU6F1",1,0.375536393454488,1,0.125675517964018,1,0.605098750980223,1,1,1,1,1,0.453653696673075,1,0.310279820747521,1,0.750446409478044,1,1,1,1,0,0.886187753902254,0,1.53150033924103,0,0.517097640896697,0,0,0,0
"SHOX",0.132809595695661,1,0.149249278175698,1,0.0915716971330544,0.00350818089181127,1,0.964256074866355,1,0.0770626331854988,0.238154317493919,1,0.437383301320448,1,0.352968994114655,0.0241378098317014,1,0.986476024929434,1,0.38756265168609,1.50322935046625,0,1.44229262970966,0,1.68731717377767,2.91995371852916,0,0.0448144167580348,0,1.76816109319499
"ALX3",0.737635147202805,0.833716609568922,0.0604576100218831,1,0.0989937429849686,0.0930886881477174,1,1,1,0.0206383578538609,0.829348220567275,0.876648860227786,0.279340636086511,1,0.362214100054827,0.229280698822977,1,1,1,0.25609750650029,0.334995418639409,0.209942451334657,1.87764114566057,0,1.64989594573756,1.67947594614327,0,0,0,2.31488148448896
"BARHL2",0.868513622568648,0.000280776442764878,0.0975102093214601,0.511292398135531,1,0.0156051006465022,1,1,0.11970539049377,1,0.925537244252448,0.000610545074751974,0.350704332389115,0.706254383076019,1,0.0715799181828688,1,1,0.189908551835982,1,0.165550789905726,3.63363132245479,1.65719171257094,0.656848727417255,0,2.41841189303678,0,0,1.55613647559122,0
"BHLHE41",1,1.65259653221848e-10,1,0.96823801423037,1,0.151469954807963,1,0.903291066063773,0.000193946703502074,1,1,6.53808503058934e-10,1,0.995279761822087,1,0.299738283775792,1,0.969124143759946,0.00070153293323893,1,0,6.39686707509966,0,0.0398192024809495,0,1.4344616695747,0,0.121507883191503,3.72807776210802,0
"CENPB",0.0204542380163707,5.88515882300258e-07,1,0.0143648519480875,0.373151321365064,0.714293962481331,1,1,2.30495425412439e-06,0.00301623121132259,0.0600301642484899,1.66308282810743e-06,1,0.0678578453965626,0.663493023858151,0.822087415001241,1,1,1.20581491145516e-05,0.141400483754943,2.31825672350441,4.99799580077105,0,2.44841021980767,0.890623514579143,0.366105059453023,0,0,4.7272554249052,2.96676196377171
"CREB3",1,4.02180139968299e-11,1,0.285902112186829,1,0.0473756581144315,1,1,0.00249919064205459,1,1,1.73183692925125e-10,1,0.50411152371661,1,0.156191622846016,1,1,0.00678556718847087,1,0,6.61019997430664,0,1.06720805918759,0,1.98315619639679,0,0,3.02416013335581,0
"DBP",1,0.156141355801418,1,1,1,1,1,1,1,0.0914527790875439,1,0.213011806513573,1,1,1,1,1,1,1,0.407673303960671,0,1.41826961918509,0,0,0,0,0,0,0,1.68793625383727
"ELF4",0.000434580327357623,3.88894577175131e-19,0.394778782362974,1,1,0.0394736622964755,1,1,1.05565126257757e-12,0.384116058399078,0.00252375547905849,3.78723488233627e-18,0.725875142814612,1,1,0.138048774771652,1,1,1.17232850738878e-11,0.7263976651297,3.51924797875371,8.957107869306,0.85101750758008,0,0,2.05946846571689,0,0,7.13171888920624,0.870373325379973
"ELF5",0.281304814242899,8.25805884842358e-15,1,1,1,0.00241290520677487,1,1,9.15894587696187e-08,0.153897982829074,0.425444555398443,5.22735125105213e-14,1,1,1,0.0188564073566481,1,1,6.23399219367405e-07,0.518250336686679,1.07744752389248,7.77474889678997,0,0,0,3.03478272929844,0,0,5.34637761634488,1.42599896896765
"EN1",0.251493329320415,1,1,1,0.031010508947548,0.508391797893272,1,0.347372194495082,1,0.0597522160279421,0.395025502381694,1,1,1,0.225628185790781,0.678328828577798,1,0.668348325578683,1,0.377652516371707,1.14679214383991,0,0,0,2.15722438167822,0.661366234668544,0,0.93974016437262,0,1.88281862302273
"EN2",2.16371886759662e-07,0.00431306649931304,1,1,1,0.259225049073429,1,1,0.0170217139764215,0.767551972963557,3.31769201565431e-06,0.00769062280018354,1,1,1,0.42731629183198,1,1,0.0352115847943621,0.909902259866156,5.18809127758816,2.85492190229962,0,0,0,1.12828493352433,0,0,2.3866138235833,0.29558608195935
"ESX1",0.000683042895105967,0.356369425827754,0.0916507605590053,1,0.795849538934317,0.450905258270412,1,0.828974812935524,1,0.0433308753331322,0.00369543720172716,0.433113478808242,0.343914243193565,1,0.926348616058528,0.628685084769099,1,0.953589821678608,1,0.334493220559423,3.39729738421063,0.922345269173518,1.68690593199115,0,0.258728752754345,0.753934469875962,0,0.216021907296776,0,2.02074787144139
"ETV6",0.00355624289013995,2.31236590163971e-16,0.552712777380298,0.697195978194465,1,0.0379955787120715,1,1,1.26888429511558e-07,1,0.0142474794269531,1.68461878204869e-15,0.792879626567319,0.836076093653747,1,0.134475474692318,1,1,8.28045112173361e-07,1,2.91570715335182,8.2178544341716,0.593718879258285,0.389118904248161,0,2.07516114961768,0,0,5.28687601392975,0
"FLI1",0.00288080492744316,1.52746594333428e-14,0.477665747405951,0.594010392288976,1,0.000124558936347146,1,1,4.19611055971596e-07,1,0.0122385873763189,9.20843754410097e-14,0.763541459868603,0.77050938180107,1,0.00175212903794985,1,1,2.48237194794412e-06,1,2.98087067414871,7.69607044433748,0.710087007772244,0.533049583978642,0,3.8383935918883,0,0,5.06300375436347,0
"FOXI1",1,0.000283570698226035,1,1,0.0161800587002927,1,1,1,0.925826927758292,1,1,0.000610545074751974,1,1,0.18093276154243,1,1,1,0.949835405625606,1,0,3.6310735260207,0,0,2.4052118716073,0,0,0,0.0930986693046193,0
"FOXL1",1,0.000283570698226035,1,1,0.0161800587002927,1,1,1,0.925826927758292,1,1,0.000610545074751974,1,1,0.18093276154243,1,1,1,0.949835405625606,1,0,3.6310735260207,0,0,2.4052118716073,0,0,0,0.0930986693046193,0
"FOXO3",0.502304402376301,0.000833561320012496,1,1,0.020325991289566,1,0.847582909615107,1,0.533505693933225,1,0.637191756922241,0.00166976049230351,1,1,0.19203511173575,1,0.879540953748136,1,0.642032517604052,1,0.670891209188905,3.34235852079157,0,0,2.32062340433545,0,0.192208049525186,0,0.622683775300015,0
"GCM1",1,8.32904707677089e-09,1,1,1,1,1,0.0804869473485696,1,1,1,2.84988475653836e-08,1,1,1,1,1,0.320680233529523,1,1,0,5.76629391037136,0,0,0,0,0,1.74803423293585,0,0
"GRHL1",1,0.978574365782476,1,0.0491756139118067,1,0.0406144311954696,1,0.793383698654108,0.676148505129742,1,1,0.989516890639468,1,0.158010982772455,1,0.141257884322705,1,0.941139665212563,0.770945249354875,1,0,0.0268569099112028,0,1.96729102219978,0,2.04769465386671,0,0.261925827054873,0.417736101322146,0
"GSC",0.828865603001719,1.75335397208938e-05,1,0.549498476905755,0.897931096091507,1,1,1,1,1,0.901498155842076,4.30183358268441e-05,1,0.73074062159946,0.958499804090934,1,1,1,1,1,0.216162018566952,4.29614865526321,0,0.59853092070016,0.128278383475165,0,0,0,0,0
