,pval.Factor1,pval.Factor2,pval.Factor3,pval.Factor4,pval.Factor5,pval.Factor6,pval.Factor7,pval.Factor8,pval.Factor9,pval.Factor10,adj.pval.Factor1,adj.pval.Factor2,adj.pval.Factor3,adj.pval.Factor4,adj.pval.Factor5,adj.pval.Factor6,adj.pval.Factor7,adj.pval.Factor8,adj.pval.Factor9,adj.pval.Factor10,setstats.Factor1,setstats.Factor2,setstats.Factor3,setstats.Factor4,setstats.Factor5,setstats.Factor6,setstats.Factor7,setstats.Factor8,setstats.Factor9,setstats.Factor10
KLF3,0.0010145580929544213,3.705361165487677e-30,0.009079144841816836,0.6436866163602097,0.2963986908799255,8.972865324913079e-05,1.174841282853813e-19,0.6294995275486275,4.4007448813583563e-07,0.9225358525498042,0.0034903003958703734,5.720716140862681e-29,0.033220223611965645,0.9366750072552018,0.7328920754960657,0.0011359647501339959,1.9068577744781117e-18,0.9428148892787009,2.99534570956972e-06,0.9881792759335931,-3.2873699107130827,11.445786545928902,-2.6095382997404832,-0.4625636686886072,1.0442387068845052,3.9183140499698443,-9.089197988758475,0.4824453652936644,5.05390018647776,-0.09724224461408822
KLF6,5.32456692991834e-07,8.263136926456798e-53,2.1815949629993674e-10,0.4230346315149369,0.036393280548011386,2.5591442481225664e-05,1.8949490431761562e-35,0.0033053289089812403,3.3742995490882963e-17,0.5034449050123364,4.161050452639888e-06,2.490745559260549e-51,6.9047480578929975e-09,0.9049148928348707,0.39075092749066037,0.00043782116461123905,5.997513721652534e-34,0.09510332724477842,9.708780066240416e-16,0.9120122017398714,-5.017314369724496,15.379781652883494,-6.354146524974337,-0.8011985037236747,2.092770470215048,4.211372067577358,-12.471245277412585,2.938481278144104,8.447132790729688,0.6691020458465221
LHX1,0.8446297879875636,0.589917463781449,0.6658534044518423,0.2874456018845902,0.10628511274879889,0.9096041321696315,0.7859986688660041,0.37944279867755726,0.24010648910916732,0.09834506027372945,0.898068404847144,0.6644444031559738,0.7762010630862504,0.8590234944458469,0.5256130966405445,0.9517015134931847,0.8347938882419138,0.8487183447452076,0.3393070536089092,0.7331241401346211,0.19597971309045184,-0.5389719851478699,-0.43185795858557874,-1.0637952674594284,1.6152551238859942,0.11354058410731861,-0.27151703412833034,-0.8789600341769032,-1.174786371622746,1.6530752369233694
LHX5,0.8320033870093717,0.44886004823539527,0.07290978792088863,0.651595798559903,0.9555963464475324,0.22410104068748773,0.699130650092548,0.5347074657152309,0.06743279771342889,0.6359740193054726,0.8884126602593762,0.5310811411831873,0.15614533468015324,0.9367033577795376,0.9966949160149493,0.4196921856662122,0.76170344493732,0.9075115496744839,0.12092056927082291,0.9170194856955903,0.21213806640628666,0.757344872593503,1.793572707304717,0.45155916521324513,-0.055681797157447574,-1.2157660305605982,-0.38650470357587047,-0.6208563180039162,-1.8289652274160368,0.47334886315364705
MAF,0.9337635325573465,0.000730521532705606,0.8132428301063147,0.5734601152853307,0.10451112065557645,0.6083575578631071,0.3397191525451667,0.9904001070435688,0.6037165093540849,0.5603495924212168,0.950277035544695,0.0013970396682859475,0.8754808017981245,0.9132189279599874,0.524199433205929,0.7580518388333598,0.4292259951319172,0.9958691610871233,0.6848612014715696,0.9120122017398714,0.08311264825418024,3.3788457958856712,-0.2362505171311491,-0.5629803702743084,1.6235050169689376,0.5124345452456031,-0.9547632063853746,0.012032254664334566,-0.5190789151015668,-0.5823406483255779
MAFA,0.051890986051511066,1.229477391655554e-07,0.03959569991705681,0.33810479765855417,0.06785380574233536,0.1659210732221743,0.0008799158159481973,0.20110887734082558,0.29063458155870653,0.38445905297632443,0.10664608496950165,3.489951519811505e-07,0.10147400019229538,0.8607108257074801,0.47857302234558785,0.34509547526664486,0.0021097981496030643,0.7216166898035099,0.39334132019035306,0.8805687884699016,-1.944255399071126,5.292661749195798,-2.0581952317861587,-0.9579598049913868,1.8261624793610463,1.3855248941930842,-3.32729266285096,1.2784778617081676,1.0567831106329442,0.8697456310233392
MAZ,5.4973970946550326e-11,1.4754803901717492e-67,1.3947804366217004e-11,0.8580598055916338,0.550959624585067,9.36583888757121e-09,1.4889251168703251e-36,0.005890720219357522,1.9491419025503933e-16,0.7026204113725534,9.942435316904673e-10,5.837369293616983e-66,5.518100102384602e-10,0.9774037571594538,0.8598809232831275,3.1203031662276716e-07,4.960471573573241e-35,0.14341638072512736,5.364377497019125e-15,0.931823163214014,-6.563586514125565,17.490906338158005,-6.7658681348892795,0.17884883364254228,0.5963417647379564,5.746417557086833,-12.675289260763561,2.7543586579031136,8.238458667359653,-0.3817958658113918
MSANTD3,0.848013860161675,4.45215132961651e-09,0.001976309152741391,0.4602815125743792,0.8338777223204927,0.003519509060862525,2.40304145861465e-09,0.5193878935032283,0.004737766060506196,0.0445977572024609,0.8991433094362776,1.4911173500779103e-08,0.009888055834523415,0.9129073761065063,0.9597174513252216,0.022967517892020395,1.61821834393944e-08,0.9045428190715025,0.012926749639225958,0.7142729106689013,-0.19165787858035024,5.871339512772038,-3.094538352257917,-0.7384101919617312,0.2097360262475505,2.9189480599633946,-5.973054428280895,0.6443106643405054,2.824938899020579,-2.008666304572818
MSGN1,0.3156259682514708,0.05187310404502324,0.20852984466174243,0.8513861553320976,0.1455409476837712,0.19777543230938355,0.5006576016600665,0.9145223513917,0.457643718811123,0.027809504303478397,0.4489690739397326,0.07874262556474751,0.3341756751161594,0.972793206363209,0.5871221264949087,0.3875908626991944,0.5857971568407062,0.9759630695988715,0.5591026881582578,0.676623306381057,1.003534286438201,1.9444037618472023,1.2576945683614285,-0.18735464326656834,-1.4555703153649757,-1.2879958241360947,-0.6734784244400452,-0.10733864514616304,0.742759469445957,-2.200265187844632
NFATC4,0.11155253890527392,4.383042784526757e-05,0.09023385256716039,0.6608751225021077,0.6954137159566535,0.12242440188369848,0.004820353868645574,0.38405811718658645,0.840978559635076,0.7823049272874555,0.19669291678840778,0.00010052413342773323,0.18075325530067254,0.9367033577795376,0.9076224375269313,0.2811023399665386,0.009906766230041067,0.8530068020628669,0.8698356670735345,0.9496661478312506,1.5913855870201532,4.088001591896968,-1.694319528656333,-0.4387175443728251,0.3915295186325969,1.5447999629194098,-2.8193927331396287,0.8704793940713125,-0.20064684747817654,-0.2763235632403795
