"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"HES1",7.42218222935965e-35,6.8638366628503e-21,1,0.120034265790717,1,0.113780325338992,1,1,0.00606254555882298,1,9.21223794349933e-34,6.68432093474499e-20,1,0.273315432537855,1,0.313143243215573,1,1,0.039974909778489,1,12.3603986937979,9.39544668554789,0,1.55475463040295,0,1.58155761393158,0,0,2.74492958560342,0
"HES2",4.38285662013331e-07,5.60712197155504e-09,1,0.69289096711283,1,0.0216081818891553,1,0.83284866447026,0.165838906066655,1,1.2441023500199e-06,1.82015805538171e-08,1,0.80477060950903,1,0.100573375998789,1,0.944934955517774,0.393168642472632,1,5.05467951210126,5.83286501634298,0,0.394945582506125,0,2.29752455865494,0,0.211054656792435,1.38579386425306,0
"HOXA13",0.901433134219429,0.00411930979862554,1,1,1,0.549336193521177,1,0.390701817008756,1,1,0.914434573655286,0.0072031024931767,1,1,1,0.752068527831474,1,0.693826264505129,1,1,0.123854102087047,2.86950019719414,0,0,0,0.598774237727097,0,0.858380344488876,0,0
"HOXA2",1,0.104560472097561,0.278423004069803,1,0.237334507194382,1,1,0.807619333685703,1,0.712680638376739,1,0.149449680419682,0.647947652853622,1,0.644775721261989,1,1,0.938023923345046,1,0.923318794327854,0,1.6232740119928,1.0839241321459,0,1.18174199063804,0,0,0.24350444980346,0,0.368268134066874
"HOXA5",1,1,0.665942545089484,1,1,1,0.022023620510323,1,1,0.122030114402112,1,1,0.893096675935685,1,1,1,0.0363993519139281,1,1,0.70800828644061,0,0,0.431735317475117,0,0,0,2.29029632636459,0,0,1.54643159689911
"HOXA9",0.140258203768684,0.0011150575149859,0.805156881584581,0.238194666252777,1,0.0139511143382246,1,0.149649643659428,0.365639813218434,1,0.185351655502248,0.0020638345233511,0.943822788968593,0.435290837542589,1,0.0723856998040668,1,0.408311312225938,0.624163773664856,1,1.47494024162291,3.26065282257922,0.24668486364135,1.17957752090686,0,2.45892670772958,0,1.44087425035992,0.904709465313785,0
"HOXB2",0.578777298455622,0.509663474865122,0.83624895869936,1,0.381542623743663,1,1,0.525244512796715,1,0.0246500562888328,0.645010616060579,0.593045918363276,0.962446528830354,1,0.776580324211377,1,1,0.778892958625034,1,0.651684229751738,0.555188659723778,0.659384019270914,0.206698917568829,0,0.875093806026713,0,0,0.635302952760764,0,2.24716250648421
"HOXB5",1,0.319467488668101,0.433199311256933,1,1,1,0.822898581863774,1,1,0.184165111503,1,0.398076614816747,0.777807773716197,1,1,1,0.859562380065625,1,1,0.7631363276365,0,0.995599364594279,0.783758444386603,0,0,0,0.223823962201347,0,0,1.32812559846237
"HOXC9",1,0.396894397661819,1,1,1,0.559362005988764,1,0.212920372124556,1,1,1,0.474922785859983,1,1,1,0.756572969638649,1,0.498083882368349,1,1,0,0.847214920839776,0,0,0,0.583807802651624,0,1.24564994374972,0,0
"HOXD13",0.764604484207203,0.00324926294301112,1,1,1,0.0168335689045397,1,0.922438018114418,1,1,0.806657730838599,0.00579375617725645,1,1,1,0.0838804366869599,1,0.98300213041486,1,1,0.299447486751721,2.94378474191737,0,0,0,2.39070001722039,0,0.0973654466937279,0,0
"HOXD3",1,0.550087502865308,0.0901677626538285,0.815771768371554,0.471146489861562,1,0.479367909853794,0.507973032065706,1,1,1,0.625345478735905,0.395082376205309,0.888244471025011,0.81263141166858,1,0.562968250347776,0.77336444940149,1,1,0,0.597648071452092,1.69466760659979,0.232992427692979,0.720640620138321,0,0.707344504325137,0.662019551077563,0,0
"HOXD8",1,0.15633794549276,0.551374151056112,0.666953312110349,1,1,1,1,0.810319760122364,0.0138524361800541,1,0.211006224940122,0.853349236231097,0.786185189135663,1,1,1,1,0.910539206890697,0.651684229751738,0,1.41759631308236,0.595721223413536,0.430345141765141,0,0,0,0,0.24001950528631,2.46147555305071
"HOXD9",1,0.909354749927757,1,1,1,1,0.645015183427911,0.645949168167049,1,1,1,0.926926822390129,1,1,1,1,0.717565221634214,0.844867556093643,1,1,0,0.113855172750941,0,0,0,0,0.460711273569097,0.459409983003405,0,0
"JUNB(var.2)",4.58235393968069e-11,2.31109582388517e-19,0.956110373320183,0.00216063767504686,1,0.0443614121169354,1,1,0.278822590069892,1,1.8185795364431e-10,2.00400500893057e-18,0.995380205080216,0.0173124512443628,1,0.163160889470394,1,1,0.538093596080005,1,6.59077763049323,9.01476476357593,0.0550365568099478,3.06796485514889,0,2.01089802005992,0,0,1.08302338521637,0
"LHX9",1,0.0948997712575419,0.31330465032469,1,1,0.692515001933099,1,0.832866040624876,1,0.153430410903988,1,0.137271447212855,0.697776031628135,1,1,0.827842120602667,1,0.944934955517774,1,0.7631363276365,0,1.67024776863953,1.00835990155667,0,0,0.395455072295172,0,0.211032388018477,0,1.42762071619389
"LMX1A",1,1,0.531335636211427,1,1,1,0.570083717354138,0.864070702939777,1,1,1,1,0.836655367467248,1,1,1,0.645550971529819,0.952886332684458,1,1,0,0,0.625988924404012,0,0,0,0.567945859787779,0.171198805318855,0,0
"LMX1B",1,0.61381997782221,0.698562628971224,1,0.949773225807953,1,0.527587302598372,0.704081331520513,1,1,1,0.68891497510897,0.902428865589357,1,0.984851159552074,1,0.606103017322631,0.874221147340853,1,1,0,0.504643109969246,0.387271960161583,0,0.0629930453701625,0,0.631714076215824,0.379827120414883,0,0
"NEUROG1",1,1,1,1,1,1,0.700837194578601,1,0.734676910915755,1,1,1,1,1,1,1,0.762250763175695,1,0.884105570520166,1,0,0,0,0,0,0,0.384200948436752,0,0.338919702569154,0
"NRL",1,0.356742398568933,1,0.670632961903544,0.305831125130941,0.898702862439607,1,0.632696142020816,0.367309103621694,0.361044674609724,1,0.43343174336686,1,0.789053280455286,0.703993377234026,0.948131519873785,1,0.837056714985295,0.62501791019498,0.848938667939868,0,0.921630203879875,0,0.425291266497796,1.02405808736702,0.127303163812367,0,0.477949257485652,0.901563678329903,0.913415657198286
"PITX1",1,1,1,1,0.179252567190111,1,0.707530606153981,0.296718358519278,1,0.826034528707615,1,1,1,1,0.584299914950186,1,0.765584399479436,0.590637487241204,1,0.961217722729694,0,0,0,0,1.34314843771426,0,0.375184675478087,1.04354781968786,0,0.219795645090777
"PRRX2",1,0.0948997712575419,0.31330465032469,1,1,0.692515001933099,1,0.832866040624876,1,0.153430410903988,1,0.137271447212855,0.697776031628135,1,1,0.827842120602667,1,0.944934955517774,1,0.7631363276365,0,1.67024776863953,1.00835990155667,0,0,0.395455072295172,0,0.211032388018477,0,1.42762071619389
"SOX4",0.73285736890325,9.57242412818152e-05,0.71753176188651,0.832180915659106,0.914943745527178,1,1,1,0.177135433897642,0.598188728795618,0.77704977305822,0.00021411111212505,0.909986053463691,0.897394411605134,0.97667706801355,1,1,1,0.409904815348097,0.915432524412885,0.341336029287102,3.90266925058247,0.361769111112033,0.211910503645408,0.106807456988511,0,0,0,1.34971719709731,0.52702282320072
"SOX8",0.70023337417939,0.00752503578197716,0.975654986002623,1,1,0.046967002902289,1,0.0717803425341766,1,1,0.750421629348841,0.0128739125675447,0.995380205080216,1,1,0.168921095665619,1,0.277054614781304,1,1,0.385015843970721,2.67318101419161,0.0305174039292219,0,0,1.98682860424023,0,1.80068825733637,0,0
"SP1",4.35972428040383e-94,8.73458679666607e-86,0.0219203080211543,2.10624372434073e-06,1,1.29714837274594e-07,1,1,3.94842952596975e-06,0.560470397538665,3.0663394105507e-92,7.89856206041375e-84,0.215944873463769,7.01711725004044e-05,1,4.56163844415655e-06,1,1,9.32040453656125e-05,0.898533660123033,20.7845456722264,19.8085999183601,2.2920827063945,4.74557389123709,0,5.28283237315401,0,0,4.61649669118128,0.582161266825431
"SP2",1.18406083145234e-96,8.05717312405655e-88,0.0605349697396915,1.23103679495137e-05,1,7.52937103869756e-11,1,1,4.31757375902208e-10,0.599026096881789,9.36888132886664e-95,8.50031764587966e-86,0.336128384607235,0.000371069662478199,1,7.94348644582593e-09,1,1,2.73302418946098e-07,0.915432524412885,21.0777942571715,20.0518848661848,1.87707639023438,4.37408499068584,0,6.51635624087933,0,0,6.24795894489547,0.525817324154586
"SP3",1.59291185013185e-97,7.19162095250453e-93,0.00957859429265283,1.63206914221163e-08,1,5.77447023955084e-11,1,1,1.48170196842205e-06,0.427558452920266,1.44044743019066e-95,9.10459212587074e-91,0.179106280766245,1.29137470877495e-06,1,7.31047932327136e-09,1,1,4.46627307624361e-05,0.895415335981002,21.1765055825426,20.6440916875033,2.59115163724462,5.65143604975004,0,6.55622428354063,0,0,4.81642360240488,0.793406959600359
"TCFL5",1.79506553373642e-37,3.40542237099527e-33,0.943184492180539,3.07776235348056e-05,1,3.5468944950574e-05,1,1,0.0232453903753098,1,2.64250344850036e-36,5.98786766900002e-32,0.995380205080216,0.000779289427901277,1,0.000624810715173058,1,1,0.108995052648675,1,12.8426240564741,12.0445542364528,0.0712696463906674,4.16943480609491,0,4.13693120334761,0,0,2.26970535736017,0
