,id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin
1222,CPI-SS00FB3CB09,FFAR2_CCL4L2,simple:O15552,simple:Q8NHW4,FFAR2,CCL4L2,True,True,False,"IMEx,IntAct",False
1223,CPI-SS022AE18AF,GPR42_CCL4L2,simple:O15529,simple:Q8NHW4,GPR42,CCL4L2,True,True,False,"IMEx,IntAct",False
1224,CPI-SS0F3D40856,PGRMC2_CCL4L2,simple:O15173,simple:Q8NHW4,PGRMC2,CCL4L2,True,True,False,"IMEx,IntAct",False
1225,CPI-SS072E1E27A,FFAR2_TNF,simple:O15552,simple:P01375,FFAR2,TNF,True,True,False,"IMEx,IntAct",False
1226,CPI-SS0AA5ECE7B,GPR42_ADIPOQ,simple:O15529,simple:Q15848,GPR42,ADIPOQ,True,True,False,"IMEx,IntAct",False
1227,CPI-CS0D9F0FAFD,ADR_complex_ADIPOQ,complex:ADR_complex,simple:Q15848,,ADIPOQ,True,True,False,user_curated,False
1228,CPI-SS04A4A2334,ASGR2_ADIPOQ,simple:P07307,simple:Q15848,ASGR2,ADIPOQ,True,True,False,"IMEx,IntAct",False
1229,CPI-SS00E3EB9FE,CNR2_ADIPOQ,simple:P34972,simple:Q15848,CNR2,ADIPOQ,True,True,False,"IMEx,IntAct",False
1230,CPI-SS0ABD11350,HLA-C_KIR2DL1,simple:HLAC,simple:P43626,HLA-C,KIR2DL1,False,True,True,user_curated,False
1231,CPI-SS064281234,LAMP1_VSTM1,simple:P11279,simple:Q6UX27,LAMP1,VSTM1,True,True,True,"IMEx,IntAct",False
1232,CPI-SS0D26F639E,KIR2DL3_CXCL9,simple:P43628,simple:Q07325,KIR2DL3,CXCL9,True,True,False,"IMEx,IntAct",False
1233,CPI-SS02246DA17,CXCR3_CXCL9,simple:P49682,simple:Q07325,CXCR3,CXCL9,True,True,False,user_curated,False
1234,CPI-SS0F52745F3,DPP4_CXCL9,simple:P27487,simple:Q07325,DPP4,CXCL9,True,True,False,user_curated,False
1235,CPI-SS0C17BB772,FCGR2A_CXCL9,simple:P12318,simple:Q07325,FCGR2A,CXCL9,True,True,False,"IMEx,IntAct",False
1236,CPI-SS0F5B6B186,PDCD1_PDCD1LG2,simple:Q15116,simple:Q9BQ51,PDCD1,PDCD1LG2,True,True,True,user_curated,False
1237,CPI-SS0976F9F9B,CEACAM4_PDCD1LG2,simple:O75871,simple:Q9BQ51,CEACAM4,PDCD1LG2,True,False,True,user_curated,False
1238,CPI-SS0976F9F9B,CEAM4_PDCD1LG2,simple:O75871,simple:Q9BQ51,CEACAM4,PDCD1LG2,True,False,True,user_curated,False
1239,CPI-SS07572A88C,FCAR_PDCD1LG2,simple:P24071,simple:Q9BQ51,FCAR,PDCD1LG2,True,True,True,user_curated,False
1240,CPI-SS016EE0084,PDCD1_CD274,simple:Q15116,simple:Q9NZQ7,PDCD1,CD274,False,True,True,user_curated,False
1241,CPI-SS08F13AD5C,CD80_CD274,simple:P33681,simple:Q9NZQ7,CD80,CD274,False,True,True,user_curated,False
1242,CPI-CS08CC8F9D3,ACVR1_BMPR2_BMP7,complex:ACVR1_BMPR2,simple:P18075,,BMP7,True,True,False,user_curated,False
1243,CPI-CS046B3C139,ACVR_1A2A receptor_BMP7,complex:ACVR_1A2A receptor,simple:P18075,,BMP7,True,True,False,curated,False
1244,CPI-CS00F859B66,ACVR_1A2A_receptor_BMP7,complex:ACVR_1A2A_receptor,simple:P18075,,BMP7,True,True,False,user_curated,False
1245,CPI-CS0288D901D,ACVR_1A2B receptor_BMP7,complex:ACVR_1A2B receptor,simple:P18075,,BMP7,True,True,False,curated,False
1246,CPI-CS0B174B76B,ACVR_1A2B_receptor_BMP7,complex:ACVR_1A2B_receptor,simple:P18075,,BMP7,True,True,False,user_curated,False
1247,CPI-CS05EAF93CC,BMPR1A_BMPR2_BMP7,complex:BMPR1A_BMPR2,simple:P18075,,BMP7,True,True,False,user_curated,False
1248,CPI-CS08109C435,BMPR1B_BMPR2_BMP7,complex:BMPR1B_BMPR2,simple:P18075,,BMP7,True,True,False,user_curated,False
1249,CPI-CS0D35E69F6,BMR1A_ACR2A_BMP7,complex:BMR1A_ACR2A,simple:P18075,,BMP7,True,True,False,user_curated,False
1250,CPI-CS0C99F8D96,BMR1A_AVR2B_BMP7,complex:BMR1A_AVR2B,simple:P18075,,BMP7,True,True,False,user_curated,False
1251,CPI-CS0DF85303A,BMR1B_AVR2A_BMP7,complex:BMR1B_AVR2A,simple:P18075,,BMP7,True,True,False,user_curated,False
1252,CPI-CS08A853007,BMR1B_AVR2B_BMP7,complex:BMR1B_AVR2B,simple:P18075,,BMP7,True,True,False,user_curated,False
1253,CPI-CS0E1BF543E,ACVR1_BMPR2_BMP5,complex:ACVR1_BMPR2,simple:P22003,,BMP5,True,True,False,user_curated,False
1254,CPI-CS0EC80CA59,ACVR_1A2A receptor_BMP5,complex:ACVR_1A2A receptor,simple:P22003,,BMP5,True,True,False,curated,False
1255,CPI-CS04751C6A3,ACVR_1A2A_receptor_BMP5,complex:ACVR_1A2A_receptor,simple:P22003,,BMP5,True,True,False,user_curated,False
1256,CPI-CS0FCC00896,ACVR_1A2B receptor_BMP5,complex:ACVR_1A2B receptor,simple:P22003,,BMP5,True,True,False,curated,False
1257,CPI-CS0FA9360D5,ACVR_1A2B_receptor_BMP5,complex:ACVR_1A2B_receptor,simple:P22003,,BMP5,True,True,False,user_curated,False
1258,CPI-CS046BCFC6F,BMPR1A_BMPR2_BMP5,complex:BMPR1A_BMPR2,simple:P22003,,BMP5,True,True,False,user_curated,False
1259,CPI-CS02C93975C,BMPR1B_BMPR2_BMP5,complex:BMPR1B_BMPR2,simple:P22003,,BMP5,True,True,False,user_curated,False
1260,CPI-CS047EE9E03,BMR1A_ACR2A_BMP5,complex:BMR1A_ACR2A,simple:P22003,,BMP5,True,True,False,user_curated,False
1261,CPI-CS0CA393CC5,BMR1A_AVR2B_BMP5,complex:BMR1A_AVR2B,simple:P22003,,BMP5,True,True,False,user_curated,False
1262,CPI-CS01A4D7E2F,BMR1B_AVR2A_BMP5,complex:BMR1B_AVR2A,simple:P22003,,BMP5,True,True,False,user_curated,False
1263,CPI-CS0BEC40E19,BMR1B_AVR2B_BMP5,complex:BMR1B_AVR2B,simple:P22003,,BMP5,True,True,False,user_curated,False
1264,CPI-CS0C16967C6,ACVR1_BMPR2_BMP6,complex:ACVR1_BMPR2,simple:P22004,,BMP6,True,True,False,user_curated,False
1265,CPI-CS0FFBA02F8,ACVR_1A2A receptor_BMP6,complex:ACVR_1A2A receptor,simple:P22004,,BMP6,True,True,False,curated,False
1266,CPI-CS0DD3F421C,ACVR_1A2A_receptor_BMP6,complex:ACVR_1A2A_receptor,simple:P22004,,BMP6,True,True,False,user_curated,False
1267,CPI-CS02AEFFE28,ACVR_1A2B receptor_BMP6,complex:ACVR_1A2B receptor,simple:P22004,,BMP6,True,True,False,curated,False
1268,CPI-CS0306FC954,ACVR_1A2B_receptor_BMP6,complex:ACVR_1A2B_receptor,simple:P22004,,BMP6,True,True,False,user_curated,False
1269,CPI-CS0F6CFB979,BMPR1A_BMPR2_BMP6,complex:BMPR1A_BMPR2,simple:P22004,,BMP6,True,True,False,user_curated,False
1270,CPI-CS0EF793D6A,BMPR1B_BMPR2_BMP6,complex:BMPR1B_BMPR2,simple:P22004,,BMP6,True,True,False,user_curated,False
1271,CPI-CS0247DA882,BMR1A_ACR2A_BMP6,complex:BMR1A_ACR2A,simple:P22004,,BMP6,True,True,False,user_curated,False
1272,CPI-CS076E1A639,BMR1A_AVR2B_BMP6,complex:BMR1A_AVR2B,simple:P22004,,BMP6,True,True,False,user_curated,False
1273,CPI-CS0921BB754,BMR1B_AVR2A_BMP6,complex:BMR1B_AVR2A,simple:P22004,,BMP6,True,True,False,user_curated,False
1274,CPI-CS0C0D60519,BMR1B_AVR2B_BMP6,complex:BMR1B_AVR2B,simple:P22004,,BMP6,True,True,False,user_curated,False
1275,CPI-CS0AEE2FB22,ACVR1_BMPR2_BMP8A,complex:ACVR1_BMPR2,simple:Q7Z5Y6,,BMP8A,True,True,False,user_curated,False
1276,CPI-CS0CE2A204A,ACVR_1A2A receptor_BMP8A,complex:ACVR_1A2A receptor,simple:Q7Z5Y6,,BMP8A,True,True,False,curated,False
1277,CPI-CS0F4A9F786,ACVR_1A2A_receptor_BMP8A,complex:ACVR_1A2A_receptor,simple:Q7Z5Y6,,BMP8A,True,True,False,user_curated,False
1278,CPI-CS0860DA460,ACVR_1A2B receptor_BMP8A,complex:ACVR_1A2B receptor,simple:Q7Z5Y6,,BMP8A,True,True,False,curated,False
1279,CPI-CS03D4B768E,ACVR_1A2B_receptor_BMP8A,complex:ACVR_1A2B_receptor,simple:Q7Z5Y6,,BMP8A,True,True,False,user_curated,False
1280,CPI-CS090FFEDFE,BMPR1A_BMPR2_BMP8A,complex:BMPR1A_BMPR2,simple:Q7Z5Y6,,BMP8A,True,True,False,user_curated,False
1281,CPI-CS0484364A2,BMPR1B_BMPR2_BMP8A,complex:BMPR1B_BMPR2,simple:Q7Z5Y6,,BMP8A,True,True,False,user_curated,False
1282,CPI-CS0C091F24B,BMR1A_ACR2A_BMP8A,complex:BMR1A_ACR2A,simple:Q7Z5Y6,,BMP8A,True,True,False,user_curated,False
