gene_name,uniprot,hgnc_symbol,ensembl
SULF1,Q8IWU6,SULF1,ENSG00000137573
SULF2,Q8IWU5,SULF2,ENSG00000196562
SUMO3,P55854,SUMO3,ENSG00000184900
SUGP2,Q8IX01,SUGP2,ENSG00000064607
TRAV2,A0A0B4J234,TRAV2,ENSG00000211776
TRAV7,A0A075B6U4,TRAV7,ENSG00000211781
TRAV8-6,A0A0B4J262,TRAV8-6,ENSG00000211795
TRAV12-3,A0A0B4J271,TRAV12-3,ENSG00000211794
TRBV12-3,P01733,TRBV12-3,ENSG00000282208
TRBV12-3,P01733,TRBV12-3,ENSG00000274752
IARS2,Q9NSE4,IARS2,ENSG00000067704
YY1,P25490,YY1,ENSG00000100811
UNC119B,A6NIH7,UNC119B,ENSG00000175970
USP17L2,Q6R6M4,USP17L2,ENSG00000223443
USP17L2,Q6R6M4,USP17L2,ENSG00000284990
USP17L7,P0C7H9,USP17L7,ENSG00000226430
USP17L7,P0C7H9,USP17L7,ENSG00000285497
USP17L8,P0C7I0,USP17L8,ENSG00000237038
USP17L20,D6RJB6,USP17L20,ENSG00000250745
USP17L22,D6RA61,USP17L22,ENSG00000248933
U2AF1L4,Q8WU68,U2AF1L4,ENSG00000161265
RARS2,Q5T160,RARS2,ENSG00000146282
RRP9,O43818,RRP9,ENSG00000114767
SNRNP200,O75643,SNRNP200,ENSG00000144028
EFTUD2,Q15029,EFTUD2,ENSG00000108883
UAP1,Q16222,UAP1,ENSG00000117143
UBE2G2,P60604,UBE2G2,ENSG00000184787
UBE2J1,Q9Y385,UBE2J1,ENSG00000198833
UBE2J2,Q8N2K1,UBE2J2,ENSG00000160087
UBE2L5,A0A1B0GUS4,UBE2L5,ENSG00000236444
UBE2L6,O14933,UBE2L6,ENSG00000156587
UBE2Q1,Q7Z7E8,UBE2Q1,ENSG00000160714
UBE2Q2,Q8WVN8,UBE2Q2,ENSG00000140367
CDC34,P49427,CDC34,ENSG00000099804
UBA7,P41226,UBA7,ENSG00000182179
UBAC2,Q8NBM4,UBAC2,ENSG00000134882
UBALD1,Q8TB05,UBALD1,ENSG00000153443
UBALD2,Q8IYN6,UBALD2,ENSG00000185262
UBB,P0CG47,UBB,ENSG00000170315
UBE2M,P61081,UBE2M,ENSG00000130725
SYS1,Q8N2H4,SYS1,ENSG00000204070
UBLCP1,Q8WVY7,UBLCP1,ENSG00000164332
UBC,P0CG48,UBC,ENSG00000150991
UBD,O15205,UBD,ENSG00000226898
UBD,O15205,UBD,ENSG00000228913
UBD,O15205,UBD,ENSG00000224654
UBD,O15205,UBD,ENSG00000213886
UBD,O15205,UBD,ENSG00000231968
UBD,O15205,UBD,ENSG00000206513
UBD,O15205,UBD,ENSG00000206468
UBE2C,O00762,UBE2C,ENSG00000175063
UBE2F,Q969M7,UBE2F,ENSG00000184182
UBE2H,P62256,UBE2H,ENSG00000186591
UBE2O,Q9C0C9,UBE2O,ENSG00000175931
UBE2U,Q5VVX9,UBE2U,ENSG00000177414
UBE2W,Q96B02,UBE2W,ENSG00000104343
TARS2,Q9BW92,TARS2,ENSG00000143374
SYT5,O00445,SYT5,ENSG00000129990
SYT13,Q7L8C5,SYT13,ENSG00000019505
STX12,Q86Y82,STX12,ENSG00000117758
STXBP6,Q8NFX7,STXBP6,ENSG00000168952
SUMO2,P61956,SUMO2,ENSG00000188612
SUMO4,Q6EEV6,SUMO4,ENSG00000177688
SUGP1,Q8IWZ8,SUGP1,ENSG00000105705
SUMF1,Q8NBK3,SUMF1,ENSG00000144455
SUMF2,Q8NBJ7,SUMF2,ENSG00000129103
SUPT3H,O75486,SUPT3H,ENSG00000196284
TRPM1,Q7Z4N2,TRPM1,ENSG00000134160
TRPM1,Q7Z4N2,TRPM1,ENSG00000274965
TRPV2,Q9Y5S1,TRPV2,ENSG00000187688
TRPV4,Q9HBA0,TRPV4,ENSG00000111199
TRPV5,Q9NQA5,TRPV5,ENSG00000274348
TRPV5,Q9NQA5,TRPV5,ENSG00000127412
TRPV6,Q9H1D0,TRPV6,ENSG00000165125
TRPV6,Q9H1D0,TRPV6,ENSG00000276971
SYBU,Q9NX95,SYBU,ENSG00000147642
SYCE2,Q6PIF2,SYCE2,ENSG00000161860
SYCE3,A1L190,SYCE3,ENSG00000217442
CARS2,Q9HA77,CARS2,ENSG00000134905
SYCN,Q0VAF6,SYCN,ENSG00000179751
SYCP1,Q15431,SYCP1,ENSG00000198765
ERVW-1,Q9UQF0,ERVW-1,ENSG00000242950
DARS,P14868,DARS,ENSG00000115866
SYDE1,Q6ZW31,SYDE1,ENSG00000105137
PRSS3,P35030,PRSS3,ENSG00000010438
TRAV3,A0A0B4J244,TRAV3,ENSG00000211777
TRAV13-2,A0A0B4J235,TRAV13-2,ENSG00000211791
TRBV20-1,A0A075B6N2,TRBV20-1,ENSG00000282064
TRBV20-1,A0A075B6N2,TRBV20-1,ENSG00000211747
TEX101,Q9BY14,TEX101,ENSG00000131126
LARS,Q9P2J5,LARS,ENSG00000133706
TXNDC15,Q96J42,TXNDC15,ENSG00000113621
TXNDC17,Q9BRA2,TXNDC17,ENSG00000129235
TXLNG,Q9NUQ3,TXLNG,ENSG00000086712
TXNL4A,P83876,TXNL4A,ENSG00000141759
TXNL4B,Q9NX01,TXNL4B,ENSG00000140830
NME8,Q8N427,NME8,ENSG00000086288
TXNDC8,Q6A555,TXNDC8,ENSG00000204193
SLC25A1,P53007,SLC25A1,ENSG00000100075
TH,P07101,TH,ENSG00000180176
TMSB10,P63313,TMSB10,ENSG00000034510
TMSB4X,P62328,TMSB4X,ENSG00000205542
TDP1,Q9NUW8,TDP1,ENSG00000042088
MARS2,Q96GW9,MARS2,ENSG00000247626
TDP2,O95551,TDP2,ENSG00000111802
TYRP1,P17643,TYRP1,ENSG00000107165
TYSND1,Q2T9J0,TYSND1,ENSG00000156521
SYNE2,Q8WXH0,SYNE2,ENSG00000054654
SYNM,O15061,SYNM,ENSG00000182253
SYNJ1,O43426,SYNJ1,ENSG00000159082
SYN1,P17600,SYN1,ENSG00000008056
SYNJ2,O15056,SYNJ2,ENSG00000078269
SNCB,Q16143,SNCB,ENSG00000074317
WARS,P23381,WARS,ENSG00000140105
ULK2,Q8IYT8,ULK2,ENSG00000083290
ULK4,Q96C45,ULK4,ENSG00000168038
YARS2,Q9Y2Z4,YARS2,ENSG00000139131
TMEM106B,Q9NUM4,TMEM106B,ENSG00000106460
TAS2R13,Q9NYV9,TAS2R13,ENSG00000273457
TAS2R13,Q9NYV9,TAS2R13,ENSG00000277254
TAS2R13,Q9NYV9,TAS2R13,ENSG00000212128
TAS2R14,Q9NYV8,TAS2R14,ENSG00000261984
TAS2R14,Q9NYV8,TAS2R14,ENSG00000276541
TAS2R14,Q9NYV8,TAS2R14,ENSG00000212127
SKAP2,O75563,SKAP2,ENSG00000005020
SLF2,Q8IX21,SLF2,ENSG00000119906
SKIDA1,Q1XH10,SKIDA1,ENSG00000180592
SLC9A6,Q92581,SLC9A6,ENSG00000198689
SLURP2,P0DP57,SLURP2,ENSG00000283992
SNAI3,Q3KNW1,SNAI3,ENSG00000185669
SLMAP,Q14BN4,SLMAP,ENSG00000163681
SMURF1,Q9HCE7,SMURF1,ENSG00000198742
SMURF1,Q9HCE7,SMURF1,ENSG00000284126
SMAD4,Q13485,SMAD4,ENSG00000141646
SMCO3,A2RU48,SMCO3,ENSG00000179256
SMOC1,Q9H4F8,SMOC1,ENSG00000198732
SMOC2,Q9H3U7,SMOC2,ENSG00000112562
SNTB1,Q13884,SNTB1,ENSG00000172164
SNX9,Q9Y5X1,SNX9,ENSG00000130340
PBK,Q96KB5,PBK,ENSG00000168078
SNX15,Q9NRS6,SNX15,ENSG00000110025
SNX17,Q15036,SNX17,ENSG00000115234
SNX5,Q9Y5X3,SNX5,ENSG00000089006
SNX30,Q5VWJ9,SNX30,ENSG00000148158
SNX6,Q9UNH7,SNX6,ENSG00000129515
SNX7,Q9UNH6,SNX7,ENSG00000162627
SLCO5A1,Q9H2Y9,SLCO5A1,ENSG00000137571
SOD1,P00441,SOD1,ENSG00000142168
SCARF2,Q96GP6,SCARF2,ENSG00000244486
SRCAP,Q6ZRS2,SRCAP,ENSG00000080603
SRCIN1,Q9C0H9,SRCIN1,ENSG00000277363
SRCIN1,Q9C0H9,SRCIN1,ENSG00000273608
SSC5D,A1L4H1,SSC5D,ENSG00000179954
SSU72,Q9NP77,SSU72,ENSG00000160075
STK32B,Q9NY57,STK32B,ENSG00000152953
STN1,Q9H668,STN1,ENSG00000107960
STMND1,H3BQB6,STMND1,ENSG00000230873
STON1,Q9Y6Q2,STON1,ENSG00000243244
SULT1A3,P0DMM9,SULT1A3,ENSG00000261052
STMN2,Q93045,STMN2,ENSG00000104435
STEAP1B,Q6NZ63,STEAP1B,ENSG00000105889
STX1B,P61266,STX1B,ENSG00000099365
STX5,Q13190,STX5,ENSG00000162236
SUFU,Q9UMX1,SUFU,ENSG00000107882
SURF6,O75683,SURF6,ENSG00000148296
SURF6,O75683,SURF6,ENSG00000281309
SUSD2,Q9UGT4,SUSD2,ENSG00000099994
SUSD3,Q96L08,SUSD3,ENSG00000157303
SUPV3L1,Q8IYB8,SUPV3L1,ENSG00000156502
SV2A,Q7L0J3,SV2A,ENSG00000159164
SV2B,Q7L1I2,SV2B,ENSG00000185518
SVIP,Q8NHG7,SVIP,ENSG00000198168
SUV39H2,Q9H5I1,SUV39H2,ENSG00000152455
SVOPL,Q8N434,SVOPL,ENSG00000157703
SVOP,Q8N4V2,SVOP,ENSG00000166111
SLC50A1,Q9BRV3,SLC50A1,ENSG00000169241
SWI5,Q1ZZU3,SWI5,ENSG00000175854
AARS,P49588,AARS,ENSG00000090861
STYX,Q8WUJ0,STYX,ENSG00000198252
STXBP3,O00186,STXBP3,ENSG00000116266
STXBP5,Q5T5C0,STXBP5,ENSG00000164506
SUCNR1,Q9BXA5,SUCNR1,ENSG00000198829
RBPJ,Q06330,RBPJ,ENSG00000168214
SUN2,Q9UH99,SUN2,ENSG00000100242
SUN3,Q8TAQ9,SUN3,ENSG00000164744
SUN5,Q8TC36,SUN5,ENSG00000167098
TTLL11,Q8NHH1,TTLL11,ENSG00000175764
TTLL12,Q14166,TTLL12,ENSG00000100304
TTLL13P,A6NNM8,TTLL13P,ENSG00000213471
TTLL2,Q9BWV7,TTLL2,ENSG00000120440
TTLL6,Q8N841,TTLL6,ENSG00000170703
TTLL7,Q6ZT98,TTLL7,ENSG00000137941
