,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
MXD1,0.042843,no,yes,no,no,no,EVT_1,EVT_1_MXD1
ZNF397,0.094729,no,yes,no,no,no,EVT_1,EVT_1_ZNF397
JARID2,0.497255,yes,no,no,no,no,EVT_1,EVT_1_JARID2
ZBTB18,0.013494,no,yes,yes,no,no,EVT_1,EVT_1_ZBTB18
ZNF649,0.04506,no,yes,no,no,no,EVT_1,EVT_1_ZNF649
ZNF432,0.182749,yes,no,no,no,no,EVT_1,EVT_1_ZNF432
PSPC1,0.772697,yes,no,no,no,no,EVT_1,EVT_1_PSPC1
HMG20B,0.722814,yes,no,no,no,no,EVT_1,EVT_1_HMG20B
ZNF174,0.014891,no,yes,no,no,no,EVT_1,EVT_1_ZNF174
ZBTB7B,0.067584,no,yes,no,no,no,EVT_1,EVT_1_ZBTB7B
SNAI1,0.314832,yes,no,no,no,no,EVT_1,EVT_1_SNAI1
FOXO1,0.21879,yes,no,no,no,no,EVT_1,EVT_1_FOXO1
PRRX2,0.002926,no,yes,no,no,no,EVT_1,EVT_1_PRRX2
MYCN,0.534124,yes,no,no,no,no,EVT_1,EVT_1_MYCN
ZBED6,0.001215,no,yes,no,no,no,EVT_1,EVT_1_ZBED6
MBD1,0.119137,no,yes,no,no,no,EVT_1,EVT_1_MBD1
PHTF1,0.067528,no,yes,no,no,no,EVT_1,EVT_1_PHTF1
GATA2,0.712491,yes,no,yes,no,yes,EVT_1,EVT_1_GATA2
SOX4,1.125674,yes,no,no,no,no,EVT_1,EVT_1_SOX4
PATZ1,0.009072,no,yes,no,no,no,EVT_1,EVT_1_PATZ1
FOXP4,0.018957,no,yes,no,no,no,EVT_1,EVT_1_FOXP4
GCM1,1.04193,yes,no,yes,no,yes,EVT_1,EVT_1_GCM1
ZNF304,0.004495,no,yes,no,no,no,EVT_1,EVT_1_ZNF304
TCF7L2,1.647389,yes,no,no,no,no,EVT_1,EVT_1_TCF7L2
RERE,0.624913,no,yes,no,no,no,EVT_1,EVT_1_RERE
CEBPB,0.859611,yes,no,no,no,no,EVT_1,EVT_1_CEBPB
TBX3,0.051109,no,yes,no,no,no,EVT_1,EVT_1_TBX3
HOXA6,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_1,EVT_1_HOXA6
MXD3,0.025616,no,yes,no,no,no,EVT_1,EVT_1_MXD3
ZBTB4,0.012624,no,yes,no,no,no,EVT_1,EVT_1_ZBTB4
HES2,0.016492,no,yes,no,no,no,EVT_1,EVT_1_HES2
MTA1,0.049578,no,yes,no,no,no,EVT_1,EVT_1_MTA1
FOSL2,0.649686,yes,no,yes,no,yes,EVT_1,EVT_1_FOSL2
ZNF354C,0.022911,no,yes,no,no,no,EVT_1,EVT_1_ZNF354C
HEY1,0.290802,yes,no,no,no,no,EVT_1,EVT_1_HEY1
NR2C1,0.123551,no,yes,no,no,no,EVT_1,EVT_1_NR2C1
