,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZNF616,0.028162621,0.022211341,0.04864013,0.0225923,0.04551522,0.030374834
ZNF726,0.06437587,0.05803416,0.0,0.081546605,0.011312195,0.03577967
NFYB,0.36303183,0.21590754,0.0977088,0.2679212,0.22846727,0.16673182
ZNF429,0.0763726,0.082266636,0.09028774,0.08051351,0.11546091,0.10341399
ZBTB5,0.025507335,0.031904478,0.0,0.043278333,0.07909974,0.054722223
CDC5L,0.23281816,0.18319488,0.04906867,0.2701535,0.15772924,0.1789971
ARNT2,0.012533236,0.019199256,0.0,0.010446926,0.0,0.045117807
ELK3,0.11751901,0.15212107,0.5698289,0.050347075,0.5996179,0.26083124
SOX7,0.0013863469,0.0036574854,0.07235688,0.041479975,0.0,0.0030523976
PHTF2,0.094203554,0.108966574,0.1348702,0.18408853,0.26967797,0.10017825
E2F5,0.006190247,0.009002903,0.0,0.037402093,0.0,0.00920526
BCL3,0.028916366,0.04393432,0.0,0.02337175,0.040847857,0.07689815
ZNF860,0.036562093,0.03144423,0.044371255,0.014837811,0.017860737,0.0549943
ZNF551,0.010985111,0.0155484555,0.0,0.023636486,0.0387561,0.012759351
SOX13,0.038528714,0.061821662,0.0,0.1620415,0.12049551,0.10141216
ZNF652,0.24723232,0.3418609,0.77885073,0.26892927,0.51340204,0.50654435
ZNF844,0.01448223,0.024892813,0.0,0.02525972,0.10803865,0.0138667915
ZNF226,0.050648898,0.044940118,0.0,0.048558358,0.008723,0.029905407
ZKSCAN8,0.024351042,0.046459332,0.10064332,0.038574934,0.091527954,0.075225644
THAP2,0.033332046,0.019460974,0.036520947,0.028756747,0.0,0.016633475
SHOX2,0.0041873315,0.01571154,0.0,0.0010467137,0.016359735,0.027784381
HIC2,0.26697642,0.3946851,0.1649373,0.41939726,0.747197,0.37237024
KMT2A,0.121662326,0.22666265,0.09343992,0.1984242,0.3016703,0.36271742
ZNF195,0.08487164,0.10259258,0.036520947,0.11522537,0.12367714,0.12524933
NFKBIB,0.10069006,0.06425252,0.0,0.11676043,0.031775545,0.08595444
ZXDC,0.05876321,0.10483351,0.10221833,0.14830552,0.2091947,0.17990626
E4F1,0.09575294,0.1282802,0.1263083,0.11299377,0.3015017,0.14136238
ZNF879,0.013210192,0.009107103,0.11352691,0.011220107,0.048636634,0.006281509
NFX1,0.17800035,0.26336777,0.3948098,0.26577348,0.29244465,0.35309252
ZFAT,0.32022732,0.5949349,1.351286,0.77766615,1.230739,0.85243154
SP100,0.41320688,0.40689617,0.50522566,0.2646088,0.6823969,0.57571507
ZNF345,0.051633533,0.073505804,0.0,0.052862093,0.3743717,0.1478195
ZNF302,0.064314015,0.08036811,0.15713376,0.07981268,0.17248185,0.08247867
CEBPA,0.14068222,0.22147909,0.2097552,0.29983026,0.1185014,0.20887853
ID3,1.4079946,1.0055438,0.7564059,0.7867844,1.2831972,0.630059
ARNT,0.35156083,0.47265142,0.036520947,0.2691243,0.54283744,0.51662487
MIER3,0.035995092,0.050858,0.1751304,0.06579247,0.10907175,0.06897578
NR2F2,0.20221569,0.20033023,0.28060657,0.6691441,0.2667549,0.1155099
NR2C2,0.16156013,0.26290312,0.20847887,0.22683299,0.39731723,0.3315096
NFAT5,0.3213817,0.6846617,1.6250705,0.62225324,1.5251168,1.2268518
TSHZ1,0.029563203,0.043742567,0.09834926,0.03450271,0.04798424,0.051887617
PEG3,0.08418051,0.08571504,0.0,0.6917825,0.049791124,0.088979535
HOPX,0.099438064,0.21971378,0.18210988,0.17607522,0.3078279,0.24177743
ZNF44,0.049021743,0.07979535,0.14647451,0.12546062,0.18834047,0.08113577
BNC1,0.00013548428,0.0022135177,0.036520947,0.00056872633,0.0,0.008832574
SMARCE1,0.09298436,0.05778623,0.0,0.11350031,0.020035194,0.05994117
MXD4,0.18278039,0.2415682,0.39371285,0.18259753,0.36337456,0.28986856
EBF1,0.019922968,0.07664522,0.063885026,0.03521575,0.13528618,0.06648274
LYAR,0.18463016,0.07829093,0.11252515,0.2240584,0.06693872,0.053130507
TFAP2B,0.017999921,0.010481667,0.0,0.042622056,0.0,0.002579183
ADNP,0.28009567,0.40027222,0.44911656,0.4009838,0.6985385,0.5293574
RBAK,0.010280647,0.017946005,0.0,0.016532522,0.0,0.01794748
HAND2,0.011083893,0.039950654,0.11407664,0.01667343,0.0,0.036387913
SP3,0.35237205,0.4423475,0.32269502,0.40591592,0.59783965,0.59884346
ZNF574,0.02506101,0.015905624,0.0,0.033292014,0.0,0.015491858
DNAJC1,0.56724894,0.69268703,0.97653216,0.27045476,1.3664724,0.8444645
ZNF83,0.28686142,0.45308927,0.86711836,0.53228605,0.8857818,0.74877316
ZNF451,0.33112082,0.5558378,0.7705674,0.40785974,1.3988596,0.7114194
ZFX,0.1814095,0.25290692,0.4830119,0.36635846,0.38213348,0.3477001
USF2,0.15078788,0.13633399,0.13543007,0.16152357,0.12166537,0.17068146
ZNF280D,0.068494774,0.0909839,0.17672336,0.087437026,0.08606571,0.13104674
ZNF525,0.044865016,0.059315708,0.036520947,0.07935629,0.06179733,0.06721283
TFDP2,0.60818994,0.44457763,0.3651273,0.81635344,1.6492242,0.5598476
ZNF518B,0.051348466,0.061392818,0.16714247,0.08188865,0.039006684,0.082504645
ZNF232,0.02287537,0.011568274,0.0,0.02564085,0.021785593,0.008166975
ZNF664,0.030102925,0.037793,0.0,0.05285569,0.034618735,0.04865387
ZNF2,0.01232794,0.008116386,0.0,0.008778719,0.0,0.012254091
ZNF737,0.020098692,0.023891183,0.0,0.020247966,0.0,0.029922443
ZNF513,0.021670341,0.034202848,0.036520947,0.029262556,0.09246974,0.028070461
ZNF761,0.15260413,0.21574347,0.5020162,0.20188583,0.39879897,0.28181672
ZNF500,0.034871068,0.04742047,0.06412238,0.048300814,0.021785593,0.06594073
FOXJ2,0.01710557,0.028451378,0.077555686,0.07218193,0.020035194,0.044709835
IRX2,0.09078529,0.15362316,0.05395142,0.20065701,0.109858155,0.21243536
DMTF1,0.15232904,0.25892988,0.10019744,0.22327054,0.6223835,0.3244851
LRRFIP1,1.1829767,1.1401011,1.233846,0.7199144,1.7842242,1.1487826
BBX,0.5420892,0.67972016,0.78195584,0.9133529,0.9730149,0.9363066
