,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
REL,0.43538597,0.5363727,0.2731513,0.30923247,0.40781608,0.49926472,0.43139598
ISL1,0.038057752,0.007636971,0.004754605,0.1609959,0.06256048,0.0,0.0061733783
ZNF519,0.30931014,0.104662694,0.018116442,0.16023687,0.25433704,0.08506523,0.049160343
ZNF43,0.63151586,0.5142918,0.15121523,0.6590664,0.67070365,0.58916044,0.44522277
NR6A1,1.3590201,1.1241767,0.39675826,0.6059105,0.8261021,1.3281615,0.8188684
ZNF491,0.016879303,0.01783529,0.0,0.03640833,0.019572742,0.08615961,0.031007608
E2F3,0.75984836,0.25431523,0.14731923,0.40787843,0.81906223,0.25718838,0.15985265
PPARA,0.24378535,0.2890961,0.13712111,0.22419459,0.22554584,0.19774935,0.18610995
ZNF26,0.13184622,0.1730375,0.03140328,0.23816949,0.13578653,0.1859744,0.1296164
GMEB1,0.26583308,0.18466438,0.100875475,0.19551359,0.24950463,0.22019427,0.15989684
ETV5,0.14655104,0.14238058,0.056012746,0.5662231,0.48126203,0.17011046,0.17057036
ZNF717,0.045303367,0.07675299,0.05236675,0.14267527,0.072409905,0.073875,0.072006404
TGIF1,0.3437781,0.3810802,0.35268173,0.24502781,0.3022611,0.38839865,0.4177808
SP3,0.88320965,0.7652428,0.55279386,1.0246311,0.8885125,0.85203063,0.70765203
ZNF518B,0.0572662,0.07716988,0.13885294,0.10265015,0.111592166,0.063115224,0.069261864
KLF5,0.5187898,0.7053404,0.64566594,0.35168386,0.37341437,0.6187586,0.66313094
ATF3,0.3474228,0.52212375,0.29920122,0.20022757,0.40553337,0.21259168,0.41053212
MBD1,0.12590745,0.17469063,0.2096226,0.15339781,0.12196711,0.20885406,0.15369752
RCOR1,1.8020867,2.132076,1.0542976,1.649838,1.857135,1.9170973,1.7899622
ZNF827,0.040992077,0.026107775,0.0,0.11142837,0.054535095,0.020576935,0.020144878
GATA3,2.0844488,2.316667,2.1049895,0.9432678,1.4129376,2.1067154,2.2837179
ZBTB25,0.14945185,0.086131915,0.08013226,0.20175096,0.20208173,0.113838546,0.10071147
ZXDC,0.23720133,0.18770601,0.122790255,0.5330416,0.4367438,0.19650589,0.23534594
ZNFX1,0.24939774,0.3642728,0.17998241,0.14030012,0.22334677,0.36291054,0.2952908
YBX3,0.1187248,0.15029202,0.24130785,0.43193772,0.38366315,0.23435502,0.19365653
NPAS2,0.26885566,0.28316414,0.10132273,0.27792332,0.3864428,0.18130209,0.13866983
RCOR3,0.4452678,0.4129174,0.24529105,0.7068214,0.4940484,0.30087367,0.43410262
ZNF790,0.15024605,0.18281259,0.035796545,0.19599722,0.10837402,0.2406477,0.13490666
NFXL1,0.6063503,0.5260651,0.42978847,0.37135214,0.4935874,0.4938009,0.6509972
CNOT4,0.563603,0.6709485,0.41197658,0.70733285,0.59014654,0.8021909,0.60963863
E2F7,0.16719034,0.0069354502,0.0,0.11652619,0.19742763,0.016553633,0.008698127
SMARCA5,0.35778064,0.43879238,0.25878185,0.3608748,0.39375567,0.3751334,0.41071153
NFATC3,0.47721872,0.34852248,0.20720857,0.7134694,0.6563934,0.59042144,0.3411754
ZNF263,0.05031227,0.062093016,0.13740638,0.085903086,0.06280162,0.026563909,0.045966987
ZBTB44,0.32881883,0.25281972,0.18578105,0.61700326,0.49697495,0.30047396,0.2364979
PHTF1,0.1445411,0.1773832,0.05549954,0.37578845,0.26801136,0.16784714,0.122418426
PBRM1,0.9518697,0.89823127,0.46321526,0.91311646,0.88808364,0.8066457,0.8506413
CREB1,0.47600743,0.46225458,0.30937603,0.6316748,0.5583625,0.36407065,0.34606043
ZNF33A,0.6034778,0.61820954,0.38433465,0.836835,0.6683282,0.7203368,0.56248206
