,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZNF846,-0.027348014,-0.05198226,0.34346288,-0.16218588,1.474764,0.20850146
ZSCAN32,0.007038655,-0.069512255,-0.2210393,0.05637534,0.6807594,-0.021309314
E2F2,0.06099321,-0.11935135,-0.2405467,0.21280406,-0.2405467,-0.20338547
MYC,0.27039966,-0.23872273,-0.43850034,0.11948936,-0.46754688,-0.33973092
REL,0.15284228,-0.1045312,-0.5394214,-0.09923973,0.09446841,-0.05972752
ARID3B,-0.0891592,-0.115580745,0.0017818213,0.052057907,0.87474173,0.14798264
GLIS2,-0.11751461,-0.094713874,-0.17193888,0.20801668,-0.018266242,0.03995441
ZNF655,0.21884058,-0.25630742,-0.6631358,0.0346026,-0.29806757,-0.17650826
GATA6,0.20052552,-0.072860904,0.080159046,-0.13984697,0.48971677,-0.117601976
ZNF345,-0.086656235,-0.058870506,-0.3283594,-0.095587015,1.0967166,0.24349487
CREBZF,-0.049146127,-0.09793669,0.29432714,0.06410479,0.260637,0.071206026
ZNF600,-0.03182521,-0.115453586,-0.23823279,0.068931416,0.6485329,0.05289053
ZNF816,0.085231654,-0.1358774,-0.18373084,0.0680822,-0.18373087,-0.09559234
ZNF571,0.016082255,-0.04294149,-0.23467644,-0.071799815,0.8267159,0.06520369
ZNF687,0.0060529904,-0.024522822,0.013441491,0.051280152,0.18523464,-0.041512158
NFYA,0.05641645,-0.076809764,-0.10444024,-0.0023857919,-0.105201565,-0.028371232
ZNF841,0.05491215,0.0048258994,-0.22631593,-0.08598094,-0.039319158,-0.0017397562
ZNF766,0.05359054,-0.17312275,-0.41233882,0.055125143,-0.039016895,-0.014207381
MLX,0.30991906,-0.29561877,-0.6452197,0.021191666,-0.02438678,-0.27220637
NR1H2,0.24778579,-0.30321193,-0.71801054,0.057424318,-0.17482603,-0.2096626
SMAD3,-0.34166113,-0.07532111,0.97649884,-0.44533283,1.9742568,0.9284353
E2F1,0.046626464,-0.17224191,0.022967165,0.31620243,-0.27271622,-0.24478023
EBF1,-0.095588006,0.0941438,0.08281236,-0.05478001,0.3462603,0.12434117
DNAJC1,0.15449518,-0.0397058,0.21513434,-0.46076602,0.79878056,0.21877356
ATOH8,-0.051000036,-0.0076339645,-0.15059826,-0.115717076,1.3507539,0.17224284
ZKSCAN8,-0.08354168,-0.03902144,0.19061434,-0.017056966,0.32927164,0.15738763
ZNF239,0.02045808,-0.05852311,0.35038748,0.044439904,0.04106795,-0.036361847
ZBED4,-0.066303454,-0.022186182,-0.01646813,-0.086713314,0.36967966,0.1864637
SHOX2,-0.048863597,0.0005276383,-0.14325671,-0.12249371,0.06851085,0.1803689
ZKSCAN1,-0.16095825,-0.09754177,-0.37039912,0.06048256,0.71002,0.23516367
ZNF570,0.085861325,0.0080160005,-0.31334296,-0.17348254,0.6906012,0.02686368
ZNF280C,-0.10583299,-0.07571976,-0.07459939,-0.03877007,1.1779011,0.22783072
ZNF668,0.12553866,-0.13703214,-0.15196407,-0.056051675,-0.10289167,-0.039723087
LRRFIP2,0.07566634,-0.1596514,0.11426007,-0.17904213,0.94404155,0.15004437
ZBTB40,-0.11702538,0.003926828,0.43038002,-0.13741273,0.8948327,0.28290224
ID4,0.06778168,0.02452932,-0.25439614,-0.060428713,0.15531716,-0.057678696
GRHL3,-0.1475235,-0.1386339,-0.15162615,0.48999417,-0.15162614,-0.14675945
ZNF34,0.05143995,-0.12423571,0.5056794,-0.019051429,0.4258228,0.017304616
ZNF84,-0.041555893,-0.106179,0.052643318,0.06107721,0.22688572,0.069856405
ZNF121,-0.048181713,-0.058245193,-0.22705932,0.112789,1.604017,-0.007851095
ZNF280D,-0.00042623634,-0.13030748,0.071632095,0.019297378,-0.13543832,0.067154646
ZNF512,-0.09924861,-0.04740429,-0.30152732,-0.14592196,1.0378265,0.30075347
TCF3,-0.099595316,-0.086735696,-0.3285057,-0.063679725,0.50419503,0.25522265
