,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
TEAD2,0.112048,yes,no,no,yes,yes,EVT_1,EVT_1_TEAD2
MTF1,0.146698,yes,no,no,no,no,EVT_1,EVT_1_MTF1
LRRFIP2,0.368492,yes,no,no,no,no,EVT_1,EVT_1_LRRFIP2
FEV,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_1,EVT_1_FEV
SNAI1,0.314832,yes,no,no,no,no,EVT_1,EVT_1_SNAI1
RARA,0.028058,yes,no,no,yes,yes,EVT_1,EVT_1_RARA
ZNF254,0.234804,yes,no,no,no,no,EVT_1,EVT_1_ZNF254
SMAD7,0.017226,no,yes,no,no,no,EVT_1,EVT_1_SMAD7
PAX8,0.073371,yes,no,no,no,no,EVT_1,EVT_1_PAX8
BATF3,0.182188,yes,no,no,yes,yes,EVT_1,EVT_1_BATF3
TBPL1,0.325918,yes,yes,no,no,yes,EVT_1,EVT_1_TBPL1
KLF8,0.132129,yes,no,no,no,no,EVT_1,EVT_1_KLF8
CEBPB,0.859611,yes,no,no,no,no,EVT_1,EVT_1_CEBPB
ZNF649,0.04506,no,yes,no,no,no,EVT_1,EVT_1_ZNF649
DLX3,0.264618,yes,no,no,no,no,EVT_1,EVT_1_DLX3
HES4,0.14875,yes,yes,no,no,yes,EVT_1,EVT_1_HES4
TGIF1,0.721475,yes,no,no,no,no,EVT_1,EVT_1_TGIF1
SP100,0.413207,yes,yes,no,no,yes,EVT_1,EVT_1_SP100
ZNF439,0.197996,yes,no,no,no,no,EVT_1,EVT_1_ZNF439
GTF3A,0.523632,yes,yes,no,no,yes,EVT_1,EVT_1_GTF3A
