,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZBTB44,0.245361,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZBTB44
IKZF5,0.050783,no,yes,no,no,no,VCT_CCC,VCT_CCC_IKZF5
MGA,0.291262,no,yes,no,no,no,VCT_CCC,VCT_CCC_MGA
DNMT1,0.960803,yes,no,no,no,no,VCT_CCC,VCT_CCC_DNMT1
ZNF32,0.059162,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF32
ZNF443,0.013118,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF443
ZNF624,0.020042,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF624
POU3F1,0.001133,no,yes,no,no,no,VCT_CCC,VCT_CCC_POU3F1
ZNF668,0.038627,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF668
ARID5B,0.737706,yes,no,no,no,no,VCT_CCC,VCT_CCC_ARID5B
ZNF134,0.033371,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF134
ZNF439,0.164875,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF439
THAP2,0.028757,no,yes,no,no,no,VCT_CCC,VCT_CCC_THAP2
ZNF879,0.01122,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF879
DBP,0.013666,yes,no,no,no,no,VCT_CCC,VCT_CCC_DBP
AEBP2,0.59146,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_AEBP2
ZFX,0.366358,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZFX
ZNF235,0.056966,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF235
ZNF160,0.110077,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF160
ZBTB37,0.061148,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZBTB37
ZNF506,0.048868,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF506
ZNF665,0.021505,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF665
ZNF337,0.046769,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF337
ZNF236,0.182673,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF236
ZNF614,0.0358,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF614
ZNF660,8.3e-05,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF660
HOXD12,not_enough_cells_expr_limma,no,yes,no,no,no,VCT_CCC,VCT_CCC_HOXD12
ZNF524,0.086794,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF524
ZNF19,0.007313,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF19
ZNF620,0.026684,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF620
