,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF354C,0.022911,no,yes,no,no,no,EVT_1,EVT_1_ZNF354C
ZNF836,0.038978,yes,no,no,no,no,EVT_1,EVT_1_ZNF836
ZNF568,0.043173,yes,no,no,no,no,EVT_1,EVT_1_ZNF568
RARB,0.007677,yes,no,no,no,no,EVT_1,EVT_1_RARB
ZHX1,0.027806,no,yes,no,no,no,EVT_1,EVT_1_ZHX1
ZNF578,0.047371,yes,no,no,no,no,EVT_1,EVT_1_ZNF578
DLX4,0.285579,yes,no,no,no,no,EVT_1,EVT_1_DLX4
FIZ1,0.015816,no,yes,no,no,no,EVT_1,EVT_1_FIZ1
IRF3,0.403224,yes,no,no,no,no,EVT_1,EVT_1_IRF3
PAX6,0.003242,no,yes,no,no,no,EVT_1,EVT_1_PAX6
SP100,0.413207,yes,yes,no,no,yes,EVT_1,EVT_1_SP100
ZNF431,0.177688,no,yes,no,no,no,EVT_1,EVT_1_ZNF431
TSC22D1,1.026929,no,yes,no,no,no,EVT_1,EVT_1_TSC22D1
ZNF606,0.014303,no,yes,no,no,no,EVT_1,EVT_1_ZNF606
SMARCE1,0.092984,no,yes,no,no,no,EVT_1,EVT_1_SMARCE1
HOXC6,0.01267,yes,no,no,no,no,EVT_1,EVT_1_HOXC6
ZNF846,0.057253,yes,no,no,no,no,EVT_1,EVT_1_ZNF846
HOXA4,0.003472,yes,no,no,no,no,EVT_1,EVT_1_HOXA4
RCOR2,0.024194,yes,no,no,no,no,EVT_1,EVT_1_RCOR2
SOHLH1,0.008269,yes,no,no,no,no,EVT_1,EVT_1_SOHLH1
AHRR,0.068591,yes,no,no,no,no,EVT_1,EVT_1_AHRR
THAP1,0.102416,yes,no,yes,no,yes,EVT_1,EVT_1_THAP1
ZNF484,0.021994,yes,no,no,no,no,EVT_1,EVT_1_ZNF484
GATA3,1.769772,yes,no,yes,no,yes,EVT_1,EVT_1_GATA3
SP110,0.216516,yes,no,no,no,no,EVT_1,EVT_1_SP110
ZNF202,0.01201,no,yes,no,no,no,EVT_1,EVT_1_ZNF202
ZNF746,0.050966,no,yes,no,no,no,EVT_1,EVT_1_ZNF746
NFKBIE,0.022754,no,yes,no,no,no,EVT_1,EVT_1_NFKBIE
NR3C1,0.289014,no,yes,no,no,no,EVT_1,EVT_1_NR3C1
RFX2,0.138207,yes,no,no,no,no,EVT_1,EVT_1_RFX2
SNAI1,0.314832,yes,no,no,no,no,EVT_1,EVT_1_SNAI1
SP140,0.006026,no,yes,no,no,no,EVT_1,EVT_1_SP140
SHOX2,0.004187,yes,no,no,no,no,EVT_1,EVT_1_SHOX2
ZNF100,0.156036,yes,no,no,no,no,EVT_1,EVT_1_ZNF100
CREB3L4,0.077348,yes,no,no,no,no,EVT_1,EVT_1_CREB3L4
NFYB,0.363032,yes,no,no,no,no,EVT_1,EVT_1_NFYB
ZNF254,0.234804,yes,no,no,no,no,EVT_1,EVT_1_ZNF254
ZBED6,0.001215,no,yes,no,no,no,EVT_1,EVT_1_ZBED6
ZNF300,0.019872,no,yes,no,no,no,EVT_1,EVT_1_ZNF300
ZNF304,0.004495,no,yes,no,no,no,EVT_1,EVT_1_ZNF304
ARID5A,0.036754,no,yes,no,no,no,EVT_1,EVT_1_ARID5A
ZNF169,0.03419,yes,no,no,no,no,EVT_1,EVT_1_ZNF169
PRRX1,0.006803,no,yes,no,no,no,EVT_1,EVT_1_PRRX1
KLF10,0.301595,yes,no,no,no,no,EVT_1,EVT_1_KLF10
RARA,0.028058,yes,no,no,no,no,EVT_1,EVT_1_RARA
GATA6,0.070709,yes,no,yes,no,yes,EVT_1,EVT_1_GATA6
ZNF658,0.026318,no,yes,no,no,no,EVT_1,EVT_1_ZNF658
ZNF469,0.000129,no,yes,no,no,no,EVT_1,EVT_1_ZNF469
GRHL1,0.549887,yes,no,no,no,no,EVT_1,EVT_1_GRHL1
ZNF69,0.123962,yes,no,no,no,no,EVT_1,EVT_1_ZNF69
ZNF790,0.059114,yes,no,no,no,no,EVT_1,EVT_1_ZNF790
ZNF2,0.012328,yes,no,no,no,no,EVT_1,EVT_1_ZNF2
ZBTB2,0.094318,yes,no,no,no,no,EVT_1,EVT_1_ZBTB2
PSPC1,0.772697,yes,no,no,no,no,EVT_1,EVT_1_PSPC1
ZNF528,0.045446,yes,no,no,no,no,EVT_1,EVT_1_ZNF528
POU6F2,0.069298,yes,no,no,no,no,EVT_1,EVT_1_POU6F2
MYOD1,0.002822,yes,no,no,no,no,EVT_1,EVT_1_MYOD1
ATOH8,0.007824,yes,no,no,no,no,EVT_1,EVT_1_ATOH8
ZNF699,0.014645,yes,no,no,no,no,EVT_1,EVT_1_ZNF699
ZNF749,0.008464,yes,no,no,no,no,EVT_1,EVT_1_ZNF749
ZNF780A,0.050317,yes,no,no,no,no,EVT_1,EVT_1_ZNF780A
KAT6A,0.392434,yes,no,no,no,no,EVT_1,EVT_1_KAT6A
CREB3L2,0.683451,yes,no,no,no,no,EVT_1,EVT_1_CREB3L2
ZNF81,0.059137,yes,no,no,no,no,EVT_1,EVT_1_ZNF81
PRDM16,0.044835,yes,no,no,no,no,EVT_1,EVT_1_PRDM16
CUX1,0.982738,yes,no,no,no,no,EVT_1,EVT_1_CUX1
DMRT1,0.001362,no,yes,no,no,no,EVT_1,EVT_1_DMRT1
EPAS1,1.313567,yes,no,no,no,no,EVT_1,EVT_1_EPAS1
SMAD7,0.017226,no,yes,no,no,no,EVT_1,EVT_1_SMAD7
KLF13,0.202324,yes,yes,no,no,yes,EVT_1,EVT_1_KLF13
SMARCC1,0.700722,yes,no,no,no,no,EVT_1,EVT_1_SMARCC1
HIF1A,0.400477,yes,no,no,no,no,EVT_1,EVT_1_HIF1A
ZNF354A,0.091397,yes,no,no,no,no,EVT_1,EVT_1_ZNF354A
PRDM5,0.101558,yes,no,no,no,no,EVT_1,EVT_1_PRDM5
OTX2,0.000599,yes,no,no,no,no,EVT_1,EVT_1_OTX2
ZNF432,0.182749,yes,no,no,no,no,EVT_1,EVT_1_ZNF432
ZNF423,0.044959,yes,no,no,no,no,EVT_1,EVT_1_ZNF423
TFCP2L1,0.008302,no,yes,no,no,no,EVT_1,EVT_1_TFCP2L1
TOX2,0.002371,no,yes,no,no,no,EVT_1,EVT_1_TOX2
ZNF487,0.041968,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF487
DNAJC1,0.567249,yes,yes,no,no,yes,EVT_1,EVT_1_DNAJC1
ZNF124,0.147049,yes,no,no,no,no,EVT_1,EVT_1_ZNF124
ELK3,0.117519,yes,no,no,no,no,EVT_1,EVT_1_ELK3
ZNF793,0.049168,yes,no,no,no,no,EVT_1,EVT_1_ZNF793
HDX,0.001176,no,yes,no,no,no,EVT_1,EVT_1_HDX
ZNF41,0.02411,yes,no,no,no,no,EVT_1,EVT_1_ZNF41
ETV4,0.102478,yes,no,no,no,no,EVT_1,EVT_1_ETV4
ZNF93,0.149169,no,yes,no,no,no,EVT_1,EVT_1_ZNF93
HMG20B,0.722814,yes,no,no,no,no,EVT_1,EVT_1_HMG20B
ASCL2,1.090333,yes,no,no,no,no,EVT_1,EVT_1_ASCL2
USF1,0.048105,yes,no,no,no,no,EVT_1,EVT_1_USF1
ZNF512,0.04636,yes,no,no,no,no,EVT_1,EVT_1_ZNF512
ZBTB18,0.013494,no,yes,yes,no,no,EVT_1,EVT_1_ZBTB18
FOSL2,0.649686,yes,no,yes,no,yes,EVT_1,EVT_1_FOSL2
ZFP42,0.218353,yes,no,no,no,no,EVT_1,EVT_1_ZFP42
ZNF860,0.036562,yes,no,no,no,no,EVT_1,EVT_1_ZNF860
NR3C2,0.075049,yes,no,no,no,no,EVT_1,EVT_1_NR3C2
JARID2,0.497255,yes,no,no,no,no,EVT_1,EVT_1_JARID2
MBD1,0.119137,no,yes,no,no,no,EVT_1,EVT_1_MBD1
IRF7,0.146301,yes,no,no,no,no,EVT_1,EVT_1_IRF7
HEY1,0.290802,yes,no,no,no,no,EVT_1,EVT_1_HEY1
ZNF575,0.008087,yes,no,no,no,no,EVT_1,EVT_1_ZNF575
