,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
37,EFNB1,0,0.723661485,0.185432586,0.69005848,0.275063686,14,0.934067959,1.290752621,0
38,MMP2,0,0.752775722,0.196771013,0.807017544,0.289362314,14,0.933498876,1.240075694,0
39,ERBB2,0,0.71601283,0.183929012,0.742690058,0.272536774,14,0.930803593,1.299981724,0
40,MGAT5,0,0.645941278,0.158442199,0.801169591,0.239625277,14,0.922842688,1.42867892,0
41,KDELR3,0,0.580680977,0.129134829,0.608187135,0.204330676,14,0.922130471,1.588015635,0
42,CNN2,0,0.496915865,0.088562978,0.754385965,0.156565864,14,0.921420405,1.854278501,0
43,CCDC88A,0,0.610905502,0.145033276,0.666666667,0.222614841,14,0.917770771,1.502312171,0
44,TSPO,0,0.700838885,0.184002958,0.748538012,0.270071493,14,0.917446154,1.309068566,0
45,LOXL2,0,0.612262522,0.146167119,0.420537897,0.223785849,12,0.916597229,1.497065714,0
46,CCR1,0,0.458549223,0.071160956,0.532163743,0.135672611,14,0.915956919,1.997510569,0
47,SLCO4A1,0,0.939921046,0.265171309,0.789473684,0.377537185,14,0.915564132,0.974086213,0
48,LINC02246,0,0.587219344,0.135962534,0.701754386,0.211110198,14,0.913346296,1.555375016,0
49,AC211486.5,0,0.542314335,0.115602662,0.649122807,0.186662832,14,0.910248216,1.678451328,0
50,CSF2RB,0,0.771280533,0.215380823,0.83625731,0.307954639,14,0.908416358,1.177802783,0
51,ANTXR2,0,0.559585492,0.125610057,0.567251462,0.197879859,14,0.906581774,1.620095207,0
52,PTK2B,0,0.575376264,0.136726645,0.631578947,0.209774838,14,0.898576922,1.561720525,0
53,PLA2G10,0,0.483098939,0.091545477,0.590643275,0.15675076,14,0.895229799,1.85309825,0
54,SLC6A2,0,0.535775968,0.119324624,0.631578947,0.188676144,14,0.893526042,1.667723256,0
55,TAP1,0,0.735751295,0.209982746,0.942857143,0.297538828,15,0.891885481,1.212210548,0
56,COL27A1,0,0.437700469,0.06911511,0.713450292,0.130495521,14,0.8913404,2.036416372,0
57,TAP2,0,0.533802122,0.120433818,0.666666667,0.18927192,14,0.8885513,1.664570565,0
58,ABCA7,0,0.874167283,0.260364802,0.865497076,0.362581149,14,0.886848803,1.014506971,0
59,TMC6,0,0.481248458,0.093985704,0.684210526,0.158476457,14,0.886531479,1.842149236,0
60,IFNAR2,0,0.605724155,0.157382302,0.602339181,0.232044539,14,0.884857561,1.460825946,0
61,DSEL,0,0.791265729,0.235518856,0.912280702,0.32806722,14,0.881894736,1.114536753,0
62,APOC1,0,0.779916112,0.234039931,0.777777778,0.324944531,14,0.876704313,1.124100784,0
63,SLC39A6,0,0.619911177,0.168227754,0.760233918,0.243446462,14,0.875846607,1.412858228,0
64,CCDC107,0,0.639649642,0.179664777,0.695906433,0.256265922,14,0.870908329,1.361539617,0
65,KCTD12,0,0.68591167,0.20377126,0.83625731,0.284061961,14,0.863262976,1.258562893,0
66,LYN,0,0.744386874,0.228074932,0.590643275,0.314056208,14,0.862136447,1.158183301,0
67,RRAS,0,0.691339748,0.2069263,0.748538012,0.28759553,14,0.861547731,1.246200197,0
68,ADAM19,0,0.881322477,0.275992112,0.935672515,0.3767976,14,0.860212252,0.976047105,0
69,SYDE1,0,0.781766593,0.243603648,0.65497076,0.333223765,14,0.859115398,1.098941047,0
70,CBLB,0,0.819146311,0.257875277,0.847953216,0.351343578,14,0.856819407,1.04599068,0
71,FAT2,0,0.478287688,0.105077644,0.532163743,0.167228203,14,0.855367748,1.788395915,0
72,GPR32,0,0.365778436,0.043480404,0.111458333,0.097152601,8,0.852802302,2.331472332,0
73,TNFAIP2,0,0.538119911,0.138624599,0.643274854,0.205152437,14,0.852383007,1.584001983,0
74,BCAR4,0,0.761287935,0.239733793,0.777777778,0.326588052,14,0.85192359,1.119055683,0
75,LHFPL6,0,0.930298544,0.295267439,0.935672515,0.401018983,14,0.850057052,0.913746514,0
76,FAM114A1,0,0.619911177,0.183534632,0.619883041,0.25620429,14,0.844182733,1.361780147,0
77,METRN,0,0.561929435,0.155607592,0.584795322,0.223272249,14,0.84253643,1.499363404,0
78,N4BP3,0,0.477670861,0.110993345,0.596491228,0.172056044,14,0.840669675,1.759935018,0
79,TRABD2A,0,0.645694547,0.197485827,0.730994152,0.272125894,14,0.840365303,1.301490475,0
80,GALNT2,0,0.692820133,0.220187331,0.754385965,0.298894733,14,0.836693818,1.207663833,0
81,SMAD3,0,0.463483839,0.105003697,0.678362573,0.16470129,14,0.83594956,1.803621808,0
82,GCH1,0,0.589069825,0.172615233,0.684210526,0.241967294,14,0.835862225,1.418952711,0
83,EPSTI1,0,0.513076733,0.133448361,0.685714286,0.196667762,15,0.834385629,1.62623946,0
84,HYI,0,0.618184061,0.187650974,0.555555556,0.259347522,14,0.834292759,1.349586331,0
85,PDCD1LG2,0,0.340241796,0.0356421,0.432748538,0.086366998,14,0.833303074,2.449149642,0
86,CCNYL1,0,0.548852702,0.15346315,0.614035088,0.219307256,14,0.83276407,1.517281536,0
87,GNG4,0,0.379225265,0.058466847,0.637426901,0.111882653,14,0.830618881,2.190304701,0
88,MYCNUT,0,0.874660745,0.290584175,0.970760234,0.387850275,14,0.828422594,0.947135902,0
89,MMP11,0,0.564520109,0.164801578,0.608187135,0.231366587,14,0.826317364,1.463751869,0
90,ASAP3,0,0.60264002,0.184126202,0.67251462,0.253821185,14,0.826294951,1.371125256,0
91,PTPRE,0,0.717986677,0.237515405,0.725146199,0.317528145,14,0.823666287,1.147188818,0
92,ITGA2,0,0.435356526,0.094675869,0.69005848,0.151409319,14,0.821852288,1.887768389,0
93,IL1R1,0,0.766222551,0.257752034,0.742690058,0.34242748,14,0.82115717,1.071695382,0
94,WIPF1,0,0.367258821,0.054966724,0.596491228,0.106972635,14,0.820890386,2.235182221,0
95,TTYH3,0,0.525289909,0.146610796,0.725146199,0.209672118,14,0.820613313,1.562210313,0
96,UPK1B,0,0.608684925,0.190879961,0.456140351,0.260456899,14,0.818874717,1.345317888,0
97,SESTD1,0,0.636442142,0.205225536,0.695906433,0.277035911,14,0.816942313,1.283608139,0
