,VCT_CCC,EVT_1,EVT_2,eEVT,iEVT,GC,Cluster
CCL8,-0.31056104885089264,0.6924778611832972,1.170252055325352,-1.2535350236271183,0.9549011795964804,-1.2535350236271183,2
EGFR,0.5520839700664223,-1.1068215455880677,-0.6546144447330365,-1.0838028807181468,0.801816010658965,1.491338890313863,5
NECTIN4,-0.36832669044212557,-0.490143692918864,0.127066627514631,1.9729716801822763,0.0664517962878609,-1.30801972062378,1
SEMA3F,-0.3566044212484039,-0.5085025297191484,-0.44332800976265846,2.227390597653102,-0.3286914775355371,-0.5902641593873538,1
PDGFA,2.217572936743105,-0.23428371307426993,-0.3572479352498362,-0.597569391921038,-0.43090250457692303,-0.597569391921038,0
FGFR2,2.1085341496282863,-0.5874254843478778,-0.10225011127713027,-0.1136466064433173,-0.24403817662075739,-1.0611737709392033,0
NTRK3,-0.2893156908457992,-0.6123509329556137,-0.30151448815592163,2.1666452707261628,-0.09967942751901498,-0.8637847312498138,1
NCAM1,-0.45418403474390406,-0.47448481944140736,-0.4281440883363825,2.235825328641678,-0.43580682458888037,-0.4432055615311036,1
CD58,-0.5242511388945166,-0.7505680098828712,-0.5927773350054394,2.134676509925698,-0.4636261872754771,0.19654616113260728,1
ATP6AP2,-0.08727795695100997,1.05486407595544,-0.2858585803049528,-1.9337758997371353,0.255465526617407,0.9965828344202475,5
CEACAM1,0.32436502301427256,-0.7156793216889514,-0.061370907879761925,-0.3404343759254131,1.969520240782377,-1.1764006583025233,2
CXCL2,2.1477403285036885,-0.35660363297710024,-0.17608302852703836,-0.7831552192941026,-0.048743228411345006,-0.7831552192941026,0
SIRPA,2.071933868581121,-0.3361892576925338,0.009112954199884771,-0.8923015396717012,0.039745514254930635,-0.8923015396717012,0
PLXNA4,-0.6220239093555265,-0.48717376645648686,0.07235745875680494,2.0120022799618322,0.1631449771675071,-1.1383070400741304,1
VEGFC,0.1107996833837033,-0.3079431288836081,1.6749777737051366,-1.1196874371446635,0.7615405460840944,-1.1196874371446635,2
SORT1,2.058542962639463,-0.33750526052600655,-0.29669524959532234,-0.9777280385643853,0.2790764433252641,-0.7256908572790116,0
PLXNC1,-0.9332814711538276,-0.8596060790996825,-0.6346126585283253,1.2898011180222337,-0.3467276833132278,1.4844267740728292,6
GFRA2,0.478144584486026,0.24745760462556224,0.6536841237519377,-1.339979499686726,1.3006726865099265,-1.339979499686726,2
LAIR1,-0.49709653539266657,-0.5637790588291822,-0.4194766651174871,1.7361197974757814,-1.1796125997985267,0.9238450616620809,6
ESAM,-1.360205541910726,-0.9772519081041493,-0.3093683969597789,0.4146617443926814,1.5829268510553773,0.6492372515265964,3
TIGIT,-0.0774588403244293,0.029963570932179683,0.622574429069269,-1.1487079183816193,1.722336677086218,-1.1487079183816193,2
TNFSF12,2.014161810904213,-0.3347799361186982,-0.6013343682371832,-0.7840208255415778,0.4899941445348242,-0.7840208255415778,0
TNFRSF1B,-0.37445523814062764,-0.45877471474215464,-0.21752411767613375,2.2005486345451213,-0.35290152607983144,-0.7968930379063734,1
VASN,0.6218376341866387,-1.4053887401451886,-1.0392810688205447,1.574568640247813,0.27906967681762945,-0.03080614228634819,1
TAC3,-0.7298448677153834,-0.6439698615643255,-0.4436478732264995,-0.9609762471380183,1.1988654350053694,1.579573414638857,3
TNFSF10,-0.9671595743576437,-0.085720543210267,-0.07902297203855357,-1.3607093848993743,1.461853461667866,1.030759012837974,3
NOTCH3,1.801216205473134,-0.5767003494317827,-0.27087164386070073,0.770770691400253,-0.4956187162223539,-1.22879618735855,0
TGFB1,-1.1381751813341787,1.4672187038466629,0.7653557133636103,-0.8335283025781476,0.656095178202334,-0.9169661115002823,2
PDCD1LG2,-1.365569027104368,-0.5853047292430423,-0.386708319407275,-0.096608078498726,0.6378186718257417,1.7963714824276713,3
SEMA4C,-1.214400428466946,-0.5990851605842472,0.2807523626851319,-0.5770347037148696,0.18053355706221438,1.9292343730187158,3
APOA1,-0.9316550763933672,-0.3609700796947371,0.982382354256184,1.1245650732635433,0.6974739500393686,-1.5117962214709904,7
CCL3L1,1.0736520375324201,0.5322409861745979,0.7784410559718686,-1.3811516308441503,0.3779691820094145,-1.3811516308441503,2
