,Empty_droplet_sum,Nuclei_sum,Soup_probability,Selected
AL845472.1,146.0,184.0,0.4424242424242424,False
AL845552.2,1.0,0.0,1.0,False
AL928596.1,1.0,0.0,1.0,False
AL928654.1,89.0,154.0,0.3662551440329218,False
AL928654.2,18.0,135.0,0.1176470588235294,True
AL928654.3,4.0,7.0,0.3636363636363636,False
AL928921.1,1.0,0.0,1.0,False
AL928921.2,103.0,159.0,0.3931297709923664,False
AL928970.1,154.0,460.0,0.250814332247557,True
AL929091.1,5.0,12.0,0.2941176470588235,True
AL929236.1,13.0,35.0,0.2708333333333333,True
AL929288.1,58.0,57.0,0.5043478260869565,False
AL929472.2,1547.0,2942.0,0.3446201826687458,True
AL929472.3,1.0,0.0,1.0,False
AL929601.1,229.0,376.0,0.3785123966942149,False
AL929601.2,5.0,26.0,0.1612903225806451,True
AL929601.3,3.0,5.0,0.375,False
AL935212.1,10.0,4.0,0.7142857142857143,False
AL935212.2,3.0,3.0,0.5,False
AL953883.1,7.0,6.0,0.5384615384615384,False
AL953897.1,1.0,0.0,1.0,False
AL954642.1,1.0,0.0,1.0,False
AL954650.1,128.0,177.0,0.419672131147541,False
ALAD,2517.0,4546.0,0.3563641512105338,False
ALAS1,8183.0,14106.0,0.3671317690340526,False
ALAS2,208.0,213.0,0.4940617577197149,False
ALB,39.0,57.0,0.40625,False
ALCAM,21179.0,27680.0,0.4334718270942917,False
ALDH16A1,1189.0,2311.0,0.3397142857142857,True
ALDH18A1,12089.0,24426.0,0.3310694235245789,True
ALDH1A1,3690.0,3994.0,0.4802186361270171,False
ALDH1A2,14987.0,30897.0,0.3266280184813878,True
ALDH1A3,2601.0,4128.0,0.386535889433794,False
ALDH1B1,995.0,1147.0,0.4645191409897292,False
ALDH1L1,101.0,95.0,0.5153061224489796,False
ALDH1L1-AS1,2.0,0.0,1.0,False
ALDH1L1-AS2,35.0,42.0,0.4545454545454545,False
ALDH1L2,1963.0,3935.0,0.3328246863343506,True
ALDH2,2918.0,4824.0,0.3769051924567295,False
ALDH3A1,14.0,26.0,0.35,True
ALDH3A2,2583.0,3894.0,0.3987957387679481,False
ALDH3B1,1504.0,2125.0,0.4144392394599063,False
ALDH3B2,2727.0,7130.0,0.2766561834229482,True
ALDH4A1,1292.0,2389.0,0.3509915783754415,True
ALDH5A1,946.0,1702.0,0.357250755287009,False
ALDH6A1,2096.0,2799.0,0.4281920326864147,False
