,VCT,VCT_CCC,EVT_1_like,EVT_early,EVT_mid,iEVT,EVT_late
ZNF132,0.0034091768,0.0029005616,0.0019966555,0.0030790402,0.0019122737,0.0036361997,0.0014815691
THAP2,0.030007837,0.0280189,0.031309932,0.027491769,0.02843734,0.02567211,0.036065944
ETV5,0.35273397,0.06103737,0.107065864,0.07513791,0.14366621,0.14216651,0.1607302
ZFP3,0.0075958064,0.013443326,0.011627045,0.012909939,0.008731005,0.0043291957,0.00301471
HSF2,0.08175051,0.058284763,0.06027929,0.05387294,0.037789177,0.043669906,0.038882118
ZNF860,0.013142425,0.013619073,0.018196654,0.01629407,0.018414306,0.040217977,0.008144131
ARID3A,1.2210404,1.5772017,2.015071,1.8197954,1.9259713,2.1214104,1.6838633
ZNF408,0.043899134,0.039335527,0.03473484,0.03843892,0.043437194,0.045821853,0.04987701
IRX2,0.47370297,0.9225532,0.62850755,0.8312998,0.38255388,0.250349,0.24071226
GTF3A,0.42957652,0.41360724,0.5548391,0.37958136,0.48673156,0.29837713,0.52450675
ADNP,0.3230203,0.2953442,0.27807358,0.2632449,0.19321564,0.3431013,0.12462404
ZNF429,0.042011026,0.038819853,0.0327945,0.044925064,0.03248971,0.060095794,0.027334787
ZFP64,0.03537859,0.047729395,0.054422997,0.043101784,0.047960576,0.029116126,0.033061817
ZBED2,0.0009045576,0.0009038789,0.0,0.00034452011,0.000117097086,0.0,0.00078596413
ZNF626,0.11056665,0.19831146,0.13978304,0.21869336,0.12413777,0.13578609,0.16120607
ZNF484,0.011496714,0.015028299,0.011719097,0.015057842,0.011478741,0.011593694,0.01271825
ZNF513,0.043063354,0.030601976,0.026962526,0.027000602,0.034827992,0.10050385,0.02988684
ZNF253,0.032340303,0.042496722,0.0348515,0.03997312,0.029250257,0.0187122,0.033082377
MXI1,0.082248904,0.29808414,0.111828335,0.4655748,0.13809428,0.06017325,0.042403787
GRHL3,0.026399782,0.010742327,0.0,0.0018688402,0.0,0.0039246585,0.0
ETS2,0.20613006,0.31004268,0.10717499,0.2349788,0.09131389,0.26440498,0.13072388
ZNF211,0.023459751,0.012255041,0.012480502,0.012479149,0.014713818,0.0368188,0.021942878
