,VCT_CCC,EVT_early,EVT,iEVT
ZNF160,0.103144296,0.1719868,-0.1000529,0.19370444
HNF4G,-0.015745435,-0.018827584,-0.011038951,0.12946486
ZNF235,-0.0016822725,-0.028691944,-0.047515288,0.06718633
ZNF615,0.053699616,0.06875345,-0.051466595,0.10978792
TBX2,-0.11158142,-0.15596694,-0.108426735,0.040452663
PHTF1,-0.08019252,-0.12114778,-0.050392143,0.24639557
THAP5,0.006484165,0.07934005,-0.07492861,-0.023864873
ZNF782,0.03837442,-0.011738611,-0.017693818,0.02599127
EPAS1,-0.10292006,0.21132284,0.24782531,1.4452914
ZNF76,0.01675617,-0.04170277,-0.08477796,0.31050193
KLF8,0.20730193,0.09952065,0.0029895229,0.5022927
ARID1A,-0.011026457,-0.048713125,-0.08770124,0.47491524
PURA,-0.05910228,0.050826255,-0.0012273755,0.51472765
SMAD9,-0.048300445,-0.021865712,0.0621431,0.11249315
STAT2,-0.052428734,0.04941159,0.20693785,1.570817
SMARCA1,0.37432563,0.08382621,-0.321098,0.053040657
ZNF264,0.06523434,0.14360844,-0.019381402,0.39985192
ZNF770,0.057053864,0.024085525,-0.14744054,0.06593982
NCOA2,-0.021341316,-0.01595693,-0.11503376,0.50941604
HSF4,0.012196077,0.014516387,-0.020653136,0.09806683
ZNF257,0.059342936,0.028972862,-0.011136986,0.22082657
ZFP30,0.038130697,0.020418936,0.012554744,0.26337767
ZBTB34,0.02761049,0.026387844,-0.07720619,0.22175284
ZNF320,0.00934791,-0.025849992,-0.035175566,0.09349577
NFE2,-0.046462197,-0.02950548,-0.0072784857,0.068918414
NFXL1,0.005271175,0.20634417,0.078227475,0.5679497
BARX2,0.4481519,0.26586953,-0.24647777,-0.35180473
ZBTB37,0.035538968,0.010381046,-0.03676167,0.34454682
PURB,0.017119344,0.045555457,-0.10561227,0.28314838
ZBTB38,-0.20833191,-0.08564948,-0.028005373,0.91411966
ZNF761,0.06322363,0.09493995,-0.18333496,0.07262314
ZNF260,0.016018962,0.020045923,-0.021458747,0.24495055
MEF2D,-0.006128684,0.045747153,-0.088821806,0.19628571
ATF1,0.121219754,0.32148406,-0.10159397,-0.18058933
ATF2,0.052173145,0.21811505,0.033671487,0.48797384
ZBTB17,-0.03871328,-0.0026433552,0.0067873076,0.1974497
ZNF91,0.055562865,0.24526021,-0.066376835,0.5706351
ZNF141,0.08861708,0.08421136,-0.07024551,-0.018669207
NFKBIZ,-0.19902377,-0.0315899,-0.03084501,0.23506854
ZNF510,0.035985507,0.021398636,-0.0083689615,0.029330736
GCM1,-0.4346465,0.050637085,0.9353621,1.3906741
ATF4,0.009870451,0.2179378,-0.22034253,-0.048334423
ZNF644,0.17408308,0.0441436,-0.16637151,0.013900576
MEIS2,-0.060011268,0.18032578,0.20433708,0.12030995
ZNF805,0.0131874755,0.041352157,-0.00599961,0.036684792
KMT2A,0.16945063,0.23708187,-0.030389084,0.4413079
ZNF317,-0.010426337,0.028369518,-0.07578781,0.38760024
TBPL1,-0.110118896,-0.050550383,-0.0055326405,-0.15275365
ZNF117,-0.10736477,-0.07954313,-0.1212506,0.14916052
ZBTB43,-0.0031941165,0.08720309,-0.152761,0.1146088
ETV5,-0.324581,-0.27069288,-0.088468544,-0.096666925
STAT1,-0.13708316,-0.1461315,0.22218062,1.2117804
ZBTB40,-0.018024864,-0.022993915,-0.070578225,0.32424194
ELF3,0.34892043,0.28008613,-0.597667,-0.8688705
PRDM16,-0.008689853,0.090353675,0.023925368,-0.01066287
ZNF700,0.0639314,0.0074040215,-0.039245863,0.16017869
ZNF891,0.07875998,0.0056202854,-0.059137072,0.1392321
ETV4,-0.283804,-0.17016922,0.18610457,0.37332064
ZNF100,0.04074574,0.1096859,-0.036106106,0.20715621
ZNF680,0.11934248,0.07230325,-0.09460113,0.25683892
RREB1,-0.0069671595,0.1531917,0.0009831897,0.725088
ZBTB49,0.009157345,0.023714572,-0.02599932,0.18521664
SP140L,0.01278922,0.018817373,-0.07919122,0.08580401
PRDM6,-0.024821665,-0.020573216,-0.02025914,0.26402223
ZNF532,-0.028427975,-0.06027925,-0.028064067,0.61962223
PRDM10,0.0055885655,-0.012887386,-0.031899326,0.2986893
BCL11A,-0.03655796,-0.033467,0.055404328,0.33889282
TBX20,-0.038678523,-0.04781659,-0.023930214,0.121029526
MAX,-0.041535273,0.038919274,0.0476266,0.17535086
ARID4B,0.13033313,0.15698242,0.002703113,0.17843086
ZXDC,0.05064676,-0.025083281,-0.117524095,0.033229724
ZKSCAN1,0.11908413,0.06437719,-0.18187805,0.30153117
ZNF791,0.09210831,0.086459205,-0.08197429,0.21944666
SP1,0.062450614,0.030867595,-0.18292363,0.07725923
ZNF101,-0.006852332,0.022094473,-0.0024190948,0.2602012
TSHZ2,-0.040514473,-0.03584,-0.0042282916,0.24203059
ZNF674,-0.00582173,-0.0032220758,0.024098096,0.12521708
ARNT,-0.057770032,0.06850351,0.08619847,0.33488986
ARID1B,0.058713514,-0.08193001,-0.22128828,0.23421209
ZNF785,0.030604426,0.028063955,-0.034505323,-0.01483147
ZNF131,-0.09692857,-0.11603253,-0.09309475,0.37775397
CREBZF,0.22048853,0.12357695,-0.14667985,0.12261625
ZC3H6,0.11221701,0.19365816,-0.12954794,-0.20592822
ZNF800,0.031237435,0.060812842,0.093021765,0.33579147
THAP4,-0.03914341,-0.095096536,-0.057231598,-0.16186278
ELF2,0.09651974,0.17213395,-0.013019007,0.10510955
ZNF75D,0.053091705,0.008441918,-0.056223355,0.021480119
CTCF,0.018498864,-0.01375389,-0.15529183,0.13341826
TAF1,0.028518336,0.044219267,-0.03158995,0.31672528
ZNF677,-0.0020210447,0.03804201,0.052523,0.051582843
ZNF81,-0.036910422,-0.026053796,0.00917535,0.24527992
ZNF566,0.08208697,-0.018019501,-0.09111144,0.21624401
SHOX2,-0.052785926,0.014942589,0.12739754,0.59158903
ZNFX1,0.0420571,-0.0015609384,-0.056965955,0.817439
ZNF423,-0.03917809,-0.029112589,0.019251937,0.14597246
ZNF600,0.117046855,0.033534296,-0.15296988,0.011427354
ZNF33A,0.12405645,-0.029998925,-0.115546465,0.18832694
KMT2B,0.015797045,0.045181982,-0.09595621,0.33788458
ZNF836,0.044181764,0.16318186,-0.011480007,-0.096207924
ZNF529,0.013534882,0.00032856778,-0.06866216,0.30248734
ZNF621,0.070051365,0.038303636,-0.065214366,0.31264433
MAFG,-0.17139283,-0.04177487,0.16656333,0.6008325
ZNF462,0.1986062,-0.048676908,-0.03940168,0.15097672
ZNF282,0.09862447,0.024909418,-0.09529676,0.07146712
TCF12,-0.012447799,0.049026515,-0.06039109,0.19718918
HOXB5,-0.015450211,-0.00984488,-0.00773842,0.04676744
ZNF43,0.07330012,0.07114086,-0.054850247,0.309448
PBRM1,-0.03474172,-0.037296765,-0.033652294,0.74540955
ZFP90,0.054439887,0.0148721235,0.0053343233,-0.03661183
ZNF251,0.027169216,0.014425159,-0.026748143,0.076510504
ZNF267,0.047415704,0.037879173,-0.001483459,0.20665465
PPARA,0.002123323,0.1684447,0.075751185,0.096743405
SP100,0.029665798,0.13132058,0.04743064,0.28302845
ARID3B,0.0023207953,0.04076514,-0.06875887,0.3139685
TFAP4,0.15198025,0.015224511,-0.15581971,-0.1389236
BATF2,-0.037896425,-0.03271393,0.06606696,0.7160003
ZNF717,0.088690564,0.046073176,-0.044038374,-0.0807688
NFATC4,0.008968644,-0.025319349,-0.031670082,-0.047435276
ZNF345,0.054515112,0.01355357,-0.039703395,0.033679176
ZNF558,0.0732342,0.058553163,-0.040402368,0.34142476
FOXK2,0.029153354,0.032973666,-0.07591645,0.18908653
ADNP2,0.015192667,-0.028355002,-0.1280609,0.21664919
HOXC9,-0.029977087,0.041809212,0.21216829,0.11342605
ZNF331,0.16547284,0.298371,-0.27160308,-0.40081906
ZFX,-0.101281986,-0.09634493,-0.16162461,0.34255457
ZNF439,0.11270744,0.12083041,0.019628527,0.22048996
ZSCAN29,0.043491505,0.0017026571,-0.019304203,0.23030025
ZNF668,-0.070193574,-0.06469461,0.22257438,0.4141476
ZNF592,-0.012822312,-0.0073547675,-0.046556596,0.28956503
ZNF140,-0.012358138,0.041309893,-0.023168828,0.16040553
ZNF562,-0.022791013,-0.042987,0.25549367,1.6266472
ZNF493,0.10671853,-0.019434953,-0.07396835,0.29898202
TFEC,-0.046647016,-0.036151174,0.02625519,0.35989824
GRHL2,-0.038842376,-0.04780266,-0.14290707,0.30215377
ZSCAN30,0.020966073,0.06715183,0.081654474,0.45725444
ZBTB41,0.0022066045,0.14546117,0.04907397,0.6675334
ZBTB2,-0.00064338476,0.0545481,-0.023990761,0.087352075
KLF16,0.008863932,-0.028313905,0.03804364,0.30437392
SREBF2,0.0027370094,-0.005127666,0.047512975,0.3898911
ZBED5,0.1311634,-0.03883869,-0.17185448,0.14973326
ZNF845,0.036273193,-0.015958993,-0.0710088,0.13188936
KLF9,0.13977848,0.15727825,-0.0451192,0.046463814
HMG20B,-0.15287279,0.34901106,-0.07949356,-0.38229927
