,EVT_late_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
ZNF260,0.07089056074619293,-0.02300179935991764,0.020045923069119453,0.016018962487578392,-0.08510090410709381,-0.1281387060880661
KLF7,-0.1163584515452385,-0.055776309221982956,0.03079242818057537,0.02067611552774906,-0.018908903002738953,-0.050553467124700546
MAFK,-0.3010105490684509,-0.18458332121372223,-0.06982451677322388,-0.09020987898111343,0.47503459453582764,0.8525126576423645
DLX3,-0.12146846950054169,0.19101080298423767,0.1122557744383812,-0.027196193113923073,-0.06436476111412048,0.21005627512931824
ZNF624,-0.014847001992166042,0.005658633541315794,0.06635752320289612,0.02514198049902916,-0.03970365226268768,-0.07411794364452362
ZNF782,-0.03449350222945213,-0.015122443437576294,-0.01173861138522625,0.03837442025542259,-0.060467153787612915,-0.05362170562148094
ARID3A,0.17109645903110504,0.49498406052589417,0.390127032995224,0.03121340647339821,-0.2994925081729889,0.1835193932056427
MGA,-0.23522275686264038,-0.08611375838518143,0.02672472968697548,0.07261047512292862,-0.17502592504024506,0.23379550874233246
KDM5B,-0.15745210647583008,0.009924800135195255,0.18788966536521912,0.07915323227643967,-0.20877550542354584,0.2125573754310608
ZNF677,0.0035003104712814093,0.05683422461152077,0.03804200887680054,-0.0020210447255522013,-0.058889295905828476,-0.11299025267362595
ZNF584,-0.06844290345907211,-0.029478009790182114,0.013013031333684921,0.010128794237971306,-0.042474765330553055,0.07068171352148056
ZNF430,-0.18730002641677856,-0.04000856727361679,0.09286091476678848,0.12621229887008667,-0.2627078592777252,-0.12130262702703476
ZNF528,-0.07862398028373718,0.005172444973140955,0.049680814146995544,0.08526481688022614,-0.06814619153738022,-0.0830954983830452
TGIF1,0.0894070491194725,0.18727391958236694,0.13312314450740814,-0.11207893490791321,-0.04715508595108986,0.016760174185037613
ZBTB43,-0.14540806412696838,-0.14676475524902344,0.08720309287309647,-0.003194116521626711,0.07517939805984497,0.5821523666381836
PURA,-0.21369239687919617,0.030384667217731476,0.05082625523209572,-0.05910227820277214,-0.04524814337491989,-0.03206751495599747
ZNF765,-0.288713663816452,-0.1485242247581482,0.3433670401573181,0.02233036607503891,-0.009182342328131199,0.4000955820083618
ELMSAN1,-0.25614142417907715,0.04334244504570961,0.3008608818054199,0.011245448142290115,-0.2621743083000183,-0.23527757823467255
ZNF227,-0.06775835156440735,-0.03748055920004845,0.04963823780417442,0.04000870883464813,-0.04619487002491951,-0.13006170094013214
ZNF292,-0.8297445178031921,-0.5409719347953796,0.4357878863811493,0.39213940501213074,-0.032725024968385696,1.2862781286239624
ZNF251,-0.03030000440776348,-0.02386724017560482,0.014425159431993961,0.02716921642422676,-0.04124003276228905,-0.014004823751747608
ZSCAN30,0.06624460220336914,0.09235383570194244,0.06715182960033417,0.020966073498129845,-0.1260170042514801,-0.09785719215869904
ZBTB48,-0.04778815060853958,0.025057634338736534,0.02558729611337185,0.022705202922225,-0.0760645642876625,-0.11702913045883179
ZBTB34,-0.16997623443603516,-0.06157177314162254,0.02638784423470497,0.02761049009859562,0.011265808716416359,0.03340562433004379
ZSCAN12,-0.13188353180885315,-0.07644687592983246,0.006578570697456598,0.07180976122617722,-0.0534127838909626,-0.08624739944934845
BATF2,0.27051839232444763,0.06414558738470078,-0.03271393105387688,-0.037896424531936646,-0.06643528491258621,-0.06101607158780098
ZNF674,-0.024125387892127037,0.03087569959461689,-0.003222075756639242,-0.005821730010211468,-0.04573254659771919,-0.06936191022396088
ZNF714,-0.19928763806819916,-0.08405791223049164,0.026082122698426247,0.12637954950332642,-0.2918543219566345,-0.010309568606317043
IKZF3,0.06705714762210846,0.029183080419898033,-0.006080410443246365,-0.03132983297109604,-0.043501731008291245,-0.04856693744659424
ZNF136,-0.11759050190448761,-0.02697639726102352,0.06364484876394272,0.049383826553821564,-0.0827474370598793,0.009255055338144302
