,pre-GC_vs_iEVT,pre-eEVT_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
KDM2A,0.15233102440834045,-0.381367027759552,-0.23128512501716614,0.03728977218270302,0.007230623625218868,-0.06594132632017136,0.5186337828636169
ZNF791,0.21944665908813477,-0.1971363127231598,-0.07153203338384628,0.0864592045545578,0.09210830926895142,-0.18665069341659546,0.29191824793815613
ARID1B,0.23421208560466766,-0.4075882136821747,-0.20439565181732178,-0.081930011510849,0.05871351435780525,-0.06669185310602188,0.10459509491920471
KLF16,0.30437391996383667,0.034125227481126785,0.03839893639087677,-0.028313905000686646,0.008863932453095913,-0.07186273485422134,-0.02086050622165203
TAF1,0.3167252838611603,-0.16422228515148163,-0.0195635836571455,0.04421926662325859,0.02851833589375019,-0.11638344824314117,-0.0492849163711071
MECOM,0.23473000526428223,0.045111823827028275,-0.014725465327501297,-0.02981380932033062,-0.021427631378173828,-0.0392211377620697,-0.05414045602083206
MTA2,0.11097671091556549,-0.06576228886842728,-0.0934801772236824,-0.08694727718830109,-0.0049711475148797035,-0.09349226206541061,0.17475448548793793
ZNFX1,0.8174390196800232,0.07960252463817596,-0.06934922188520432,-0.0015609384281560779,0.0420571006834507,0.001912984880618751,0.034436341375112534
ZNF641,0.4480643570423126,0.2717141807079315,0.10256550461053848,-0.054193541407585144,-0.06200878694653511,-0.07568169385194778,-0.09836609661579132
KDM5C,0.4635286033153534,-0.2651329040527344,-0.09876935184001923,0.03150567784905434,0.016284706071019173,-0.024559689685702324,0.20276662707328796
ZBTB11,0.1846032440662384,-0.2443317472934723,-0.15921318531036377,-0.07052034884691238,-0.023014254868030548,-0.011050142347812653,0.5412375926971436
ZNF558,0.34142476320266724,-0.10463175922632217,-0.03457840159535408,0.05855316296219826,0.0732342004776001,-0.09937161952257156,-0.11748028546571732
ZNF333,0.47302183508872986,-0.08082609623670578,-0.016664739698171616,0.014382059685885906,0.05364566296339035,-0.010053819045424461,-0.0881553366780281
DLX1,0.047042299062013626,0.0,-0.0163523368537426,-0.014656374230980873,-0.013994993641972542,-0.014475208707153797,-0.0040321010164916515
HMGXB4,0.17882950603961945,-0.04913846030831337,-0.12042411416769028,-0.018052108585834503,0.036828141659498215,-0.0549955815076828,-0.03825889527797699
ZNF131,0.37775397300720215,-0.1402180939912796,-0.08882186561822891,-0.11603253334760666,-0.09692856669425964,-0.12040551751852036,0.16268004477024078
ARID4B,0.17843085527420044,0.0012330771423876286,0.0028364078607410192,0.156982421875,0.13033312559127808,-0.31780922412872314,0.31259483098983765
ZNF92,0.1500149667263031,-0.008999141864478588,-0.006395069882273674,-0.010721643455326557,0.03069419413805008,-0.15581609308719635,-0.0770508348941803
ZNF559,0.2859014868736267,-0.035523682832717896,0.009964581578969955,0.025001244619488716,0.01099058985710144,-0.1019946038722992,-0.0883619487285614
ZNF257,0.22082656621932983,-0.004692852962762117,-0.011721302755177021,0.028972862288355827,0.05934293568134308,-0.1343303769826889,-0.04579614847898483
E4F1,0.20624488592147827,0.02707415632903576,-0.031144704669713974,-0.059899814426898956,-0.05416090041399002,-0.0655812993645668,0.024782132357358932
ZNF700,0.16017869114875793,-0.06927699595689774,-0.03652280196547508,0.007404021453112364,0.06393139809370041,-0.06097470596432686,-0.1040245071053505
ZNF597,0.19694912433624268,-0.05291224643588066,-0.015509775839745998,-0.017005981877446175,-0.02001083269715309,0.0008228665101341903,0.10311250388622284
